Experiment	condition	Bh	Bt	Ri	Trehalose	Glucose	Pyruvate	Succinate	Lactate	Formate	Acetate	Butyrate
A6V8_27	E1_p15	0.024077708	4.661925757	0.051566424	0.550243175	1.125757821	1.457002752	9.126417646	2.301279242	1.322776173	10.90815357	0.551178094
A6V8_28	E1_p16	0.00349703	2.988561545	0.024071221	0.559729277	2.066757069	2.370499867	8.571152324	3.151872575	1.271574072	10.28347952	0.430044828
A6V8_29	E1_p17	0.002119309	2.635890895	0.036293171	0.523009202	2.861269395	2.66775313	7.184831204	3.490055707	1.191085311	9.075560341	0.36003213
A6V8_30	E1_p18	0.00122521	1.366660288	0.015110921	0.50219785	3.576909021	1.748702502	6.103665559	4.793308532	1.175798481	8.678721456	0.347749388
A6V8_31	E1_p19	0.002570738	1.645615376	0.028611367	0.52468511	4.332835556	0.38568789	5.521077851	7.184222251	1.25844855	9.194938513	0.399570976
A6V8_32	E1_p20	0	2.469805669	0.007086158	0.495416196	3.941950486	0.253013726	4.855304706	7.561194656	1.287174166	8.465162461	0.551648981
A6V8_33	E1_p21	0.001598023	4.384228576	0.007901335	0.485304189	2.341534504	0.534825497	5.988803596	7.360687339	1.2836301	8.768763786	0.679149042
A6V8_34	E1_p22	0	4.137044149	0.004580295	0.54101624	1.555950118	0.954935439	8.352643607	7.469347753	1.447173447	10.5974022	0.663187857
A6V8_35	E1_p23	0	3.993021121	0.001412676	0.494487013	0.974206101	0.990593598	8.773823406	5.947323975	1.448966592	10.15880147	0.499737936
A6V8_36	E1_p24	0	3.550538431	0.00055834	0.444566599	0.808361797	1.149567948	8.043228237	4.729351795	1.332971583	9.272037294	0.398660438
A6V8_37	E1_p25	0	5.438392637	0.00208876	0.53317946	1.046597368	1.753751224	9.897733135	5.541005977	1.716821903	11.39249295	0.359799271
A6V8_38	E1_p26	0	5.942022734	0.001968079	0.494187629	1.031655668	1.952315553	9.15610685	4.877986668	1.629588866	10.81161076	0.26207721
A6V8_39	E1_p27	0	7.924811374	0.001702463	0.501442277	0.560434343	1.27527059	9.860717919	5.252328143	1.636674274	11.84356368	0.248797687
A6V9_1	E1_c1	0.11405838	0.04024668	0.007599496	0.696449439	9.870129393	10.17336173	0.646952799	0.793571033	0.969600511	2.510519027	0.240148946
A6V9_2	E1_c2	3.056434061	1.792029964	0.088967798	0.48827987	8.253664502	7.958217664	1.217183043	0.857475428	0.772706514	7.338033322	0.358667815
A6V9_3	E1_c3	3.272115851	8.585670776	0.723139014	0.09496452	0.288465216	0	4.813563708	0.768483984	0.669043759	14.72790494	2.984863239
A6V9_4	E1_c4	1.893507651	7.329907059	1.887383511	0.169541364	0.073767018	0	3.703964837	0.933140842	0.716483086	9.746720195	7.920859144
A6V9_5	E1_c5	1.34505847	7.634919106	2.57110671	0.225339669	0.06535909	0	2.972607222	1.021087984	0.734737168	5.439144826	10.36131528
A6V9_6	E1_c6	1.197494062	7.661477571	2.934108895	0.272181086	0.060258237	0	2.741136299	1.22064081	0.906414466	4.32857061	11.75535991
A6V9_7	E1_c7	2.124928525	10.41614025	5.158106037	0.163049029	0.070387458	0	2.816031278	1.146974765	1.014215177	5.329085913	13.40507564
A6V9_8	E1_c8	3.401052673	9.046145275	4.577028367	0	0.061214136	0	2.34981833	0.81805079	0.789993566	6.655718386	13.03450003
A6V9_9	E1_c9	2.612309871	8.414915716	4.765542239	0	0.060442683	0	2.130929961	0.634214313	1.330814886	7.437045255	13.89710696
A6V9_10	E1_c10	2.52891098	7.370298071	6.366408674	0	0.042603418	0	1.252144808	0.300747515	0.691592273	4.761513675	8.532893704
A6V9_11	E1_c11	2.469008049	7.507469798	4.998968856	0	0.064044588	0	1.927114267	0.384618214	1.266098041	8.315443959	15.06039449
A6V9_12	E1_c12	1.142884817	8.015957649	5.327465333	0.121099943	0.05942455	0	1.794886951	0.357125397	1.406046272	6.293851	15.33666451
A6V9_13	E1_p1	0.763607298	8.681814913	6.976831146	0.189140065	0.063705638	0	2.037226888	0.349627188	1.552934489	5.217079729	16.71888925
A6V9_14	E1_p2	0.542641874	6.297660421	5.822848781	0.259719323	0.062735038	0	1.684865434	0.264125445	1.382645818	3.829370063	14.80295489
A6V9_15	E1_p3	0.31834837	3.55078816	5.701289359	0.316935343	0.059340939	0	1.312524259	0.233816873	1.162427901	3.719441017	13.5494077
A6V9_16	E1_p4	0.328868595	2.822850356	4.542574446	0.387944204	0.608834907	1.393202676	1.372539765	0.435716193	0.816929181	4.145690602	11.68868307
A6V9_17	E1_p5	0.219542155	2.083495815	2.71923632	0.408598879	2.192083592	3.353367835	1.425807453	0.919756648	0.805980576	3.796638812	8.637582351
A6V9_18	E1_p6	0.081462121	2.448292624	1.96194531	0.434929111	3.528167777	4.934760065	1.237177766	0.879066638	0.850531489	3.518882253	6.642494858
A6V9_19	E1_p7	0.166139588	1.554235844	1.648935409	0.499761247	5.135955067	6.774690685	1.640090047	1.545092378	1.017455828	3.786211506	5.561860687
A6V9_20	E1_p8	0.112819666	1.311348584	1.109693433	0.461262985	4.553259656	4.853564979	1.717068164	2.529130709	1.032192928	4.25423178	5.133526435
A6V9_21	E1_p9	0.082536948	1.277841266	0.890975775	0.45821305	4.44058224	3.396172932	1.808091839	3.618601664	1.22390378	5.006119489	5.245576103
A6V9_22	E1_p10	0.020515803	0.481501123	0.25509572	0.532908185	7.854730262	7.434877433	1.250097404	2.991535942	1.43126732	4.146549678	2.322200702
A6V9_23	E1_p11	0.015589528	0.872952421	0.166848704	0.507995837	7.570424439	6.997922755	1.241235425	3.094844108	1.332695618	4.167915623	1.607338076
A6V9_24	E1_p12	0.011662057	10.09071124	0.06919487	0.519516753	2.212358603	2.313419472	5.985667107	4.038603266	2.143664729	9.234984113	1.20095115
A6V9_25	E1_p13	0.007351468	7.060900786	0.042424094	0.584374203	1.107019747	0.596433971	8.855090634	4.67417328	2.065972917	12.21597054	1.040942191
A6V9_26	E1_p14	0.004987193	5.083694857	0.03376745	0.534236406	1.228440847	0.664869698	8.546579392	3.681979181	1.646905935	11.22403452	0.816431969
A6V9_27	E1_p15	0.002473194	2.689301463	0.014550623	0.52946387	1.751062467	0.962229371	8.460997607	3.876104475	1.506827161	10.71755813	0.784567705
A6V9_28	E1_p16	0.067613194	2.231235406	0.249056196	0.531753659	2.601946049	1.252258464	8.305606329	4.56152243	1.487214155	10.2868546	0.756906343
A6V9_29	E1_p17	0.00228608	2.089629187	0.017738285	0.499770348	3.150355991	1.572887808	7.064099634	4.62788505	1.393593061	8.942588094	0.814183068
A6V9_30	E1_p18	0	1.523873663	0.01232254	0.49433169	4.072237094	2.457120653	6.007975635	4.51980985	1.48320847	7.935981287	0.937936013
A6V9_31	E1_p19	0.001871325	2.230726802	0.011584395	0.515023449	4.928727443	3.608770865	5.430851022	4.495013622	1.522108962	7.656903826	0.828479698
A6V9_32	E1_p20	0	5.536429382	0.008706402	0.502537282	2.958079344	3.132517371	6.822655343	4.180915606	1.632997778	8.604396018	0.612887278
A6V9_33	E1_p21	0	5.254256216	0.006981685	0.495345414	1.156564706	1.532407679	8.749543264	4.288832627	1.518173998	10.00081938	0.486926773
A6V9_34	E1_p22	0	4.455366653	0.001235631	0.5578221	0.975836117	1.323323094	10.93506773	4.350610834	1.803911929	12.15056687	0.412973145
A6V9_35	E1_p23	0	4.962605294	0.00235538	0.511306759	0.836276402	1.30727517	10.31996848	3.855366473	1.725156174	11.31775806	0.304077605
A6V9_36	E1_p24	0	4.38568504	0.004003706	0.506578545	0.955550839	1.687763381	9.981812019	3.930248141	1.74926718	11.09295837	0.272420994
A6V9_37	E1_p25	0	5.126683531	0.002037957	0.544708589	1.081359332	2.103050698	10.56028497	4.510409521	1.954445106	11.78348189	0.242410135
A6V9_38	E1_p26	0	5.89851402	0.001095889	0.512008567	1.034712737	2.223861003	9.7570209	4.414363276	1.822485823	11.22473575	0.172296338
A6V9_39	E1_p27	0	7.49386083	0.001648017	0.504937478	0.559475991	1.417354217	10.17443528	4.746717779	1.78409944	12.00002469	0.163477898
A6V10_1	E1_c1	0.076084046	0.031549844	0.004908689	0.693447384	9.860288005	10.14081117	0.660326072	0.797679585	0.959753148	2.492439194	0.23382533
A7V10_2	E1_c2	2.9654581	1.927951632	0.102088511	0.470761618	8.069440066	7.971788879	1.247252134	0.863325386	0.830877832	7.204165646	0.366426687
A7V10_3	E1_c3	3.618869073	9.46223378	0.616585399	0.1229342	0.271157122	0.076523873	4.8226452	0.781458263	0.643625324	15.03931735	2.44914926
A7V10_4	E1_c4	2.153490528	9.42899846	2.382589685	0.196031342	0.073028388	0	3.464149422	0.927095698	0.722630171	10.3872642	7.049538419
A7V10_5	E1_c5	1.199286434	8.955109537	3.071223262	0.254903014	0.065258892	0	2.818810891	0.880820495	0.665232005	5.888337641	9.779333897
A7V10_6	E1_c6	1.393365169	9.138681024	5.718163057	0.295648859	0.061195591	0	2.555111164	0.884915615	0.801091521	4.391938515	11.35475408
A7V10_7	E1_c7	2.175666092	13.5015228	4.57509531	0.161714659	0.067318579	0	2.737180189	0.918270437	0.906846015	5.263009717	12.97464999
A7V10_8	E1_c8	4.518896586	10.44624351	4.745585768	0	0.061849023	0	2.31730726	0.648681719	0.966173159	6.584900048	12.77254965
A7V10_9	E1_c9	5.613635911	9.029489582	5.956177964	0	0.059691747	0	2.182657521	0.526293718	1.282038952	7.354494972	13.58506489
A7V10_10	E1_c10	4.135572164	9.490409382	5.204383766	0	0.06258716	0	2.34032797	0.459326687	1.481529107	9.262464042	15.20978669
A7V10_11	E1_c11	2.486271672	8.07014062	6.716414563	0	0.059931915	0	2.028424362	0.360378579	1.527442505	8.012023442	14.78557875
A7V10_12	E1_c12	1.280443116	9.848007237	6.889509721	0.085438682	0.062391597	0	1.963822715	0.306303741	1.402931974	5.73710571	15.38886185
A7V10_13	E1_p1	1.589403914	14.49435854	8.789361765	0.032744551	0.060984933	0	2.20486128	0.245927813	1.32550324	5.751123583	16.46577118
A7V10_14	E1_p2	3.095315484	8.920245086	5.191724459	0	0.059297675	0	1.922491057	0.181768309	1.006122716	5.959361181	15.27735191
A7V10_15	E1_p3	1.895982203	6.044049477	6.105555356	0.059442484	0.061211489	0	1.663480041	0.185653398	0.926524398	4.733925164	15.52003271
A7V10_16	E1_p4	0.893153685	4.452816346	5.828884646	0.137344987	0.073053017	0	1.710679108	0.219350547	1.13625711	3.878648106	16.09273439
A7V10_17	E1_p5	0.704159104	3.3250293	5.59026863	0.22024021	0.077019389	0	1.559841455	0.173953901	1.024159453	3.950948064	14.12976024
A7V10_18	E1_p6	0.544950316	5.381687123	6.84770439	0.273064803	0.072771918	0	1.627595141	0.2057636	0.960238444	4.693378755	13.76562741
A7V10_19	E1_p7	0.224240608	9.982711374	6.722880267	0.28734626	0.05238974	0	2.157863898	0.37240246	1.102830659	5.82560065	15.18964345
A7V10_20	E1_p8	0.24616866	10.09970592	6.828350792	0.280173484	0.024583533	0	2.024438879	0.377496746	1.144630564	5.542224458	14.16744407
A7V10_21	E1_p9	6.103569575	7.588221634	4.418607318	0	0.025502109	0	2.01500004	0.465436193	1.102409796	7.425189423	14.24288248
A7V10_22	E1_p10	7.556064833	11.69732475	0.464966181	0	0.082721137	0	5.551918105	1.752157075	1.05706551	17.89569748	6.46198333
A7V10_23	E1_p11	6.298899827	15.38206795	1.632690293	0	0.059296444	0	3.738061901	1.476405616	0.976398744	17.69526667	8.076435069
A7V10_24	E1_p12	12.99657654	13.15687069	1.906908348	0	0.025930784	0	2.950707406	1.200686208	0.854186193	18.50637088	9.882333069
A7V10_25	E1_p13	16.75591363	10.99615367	1.674567163	0	0.027000163	0	2.73279809	0.986589019	1.206989343	22.54609945	12.59297106
A7V10_26	E1_p14	10.47789674	5.966937646	1.341877636	0	0.023296865	0	2.143673203	0.891026475	1.076226537	20.36309766	12.19076763
A7V10_27	E1_p15	8.822060937	4.555940121	1.182299246	0	0.024800364	0	1.85701921	0.735588595	0.984462393	20.19140669	12.71533626
A7V10_28	E1_p16	10.03354914	9.738772645	2.625062815	0	0.026921346	0	1.817573403	0.666813924	1.224254866	20.91151956	13.81743614
A7V10_29	E1_p17	5.016999564	10.7360747	4.98881734	0	0.041809403	0	1.671446609	0.670238053	1.267375401	16.73519207	14.12096284
A7V10_30	E1_p18	2.705054347	11.91298769	7.101887302	0.077242658	0.111706782	0	1.934824802	0.696985344	1.356055526	12.19711199	14.88282139
