patricID	ri_t12_A	ri_t12_B	ri_t12_C	ri_t48_A	ri_t48_B	ri_t48_C	btri_t12_riA	btri_t12_riB	btri_t12_riC	btri_t24_riA	btri_t24_riB	btri_t24_riC	btri_t36_riA	btri_t36_riB	btri_t36_riC
fig|536231.75.peg.1035	1490.807	3026.931	1786	7184.113	5927.705	10272.341	368.156	383.5	558	6000.644	6119	5513	207	2879.28	3483.2
fig|536231.75.peg.1036	336.687	762	343	1090.216	870	1749.994	72	33	98	912.936	853	921	52	489	452
fig|536231.75.peg.1037	626	1205	476	1677.189	1049	2457	144	146	196	2055	2023	2033	49	844	906
fig|536231.75.peg.1038	1587.633	3515	1961	5099	4775	6698	397	359	552	8172	5455	5941	211	3330	4002
fig|536231.75.peg.1039	385.554	1025.64	575.322	3187.816	2973.086	4639.824	109.347	145	154.241	1986.889	1496	1510	163	1217.774	1193.856
fig|536231.75.peg.1040	227.446	458.711	307.165	659.119	560.913	1015.902	48.512	29	36.331	809.872	579.647	1026	31.491	593.22	442.856
fig|536231.75.peg.1041	232.965	631.04	350.307	1192.303	806.406	1268.274	75.295	75	126.427	1740.55	1552.484	1617.756	45.509	737.7	849.01
fig|536231.75.peg.1042	1896.035	3613.592	1953.206	4695.699	4099.603	5686.305	451.846	380	596.594	10344.817	8123.869	8954.244	275	4529.525	5358.173
fig|536231.75.peg.1043	305	589.969	220	1037.794	776.827	1432.204	60.777	63	94.406	1689.891	686	744	56	715.618	718.104
fig|536231.75.peg.1044	1107	2260.123	1011	6273.269	5327.165	8968.491	319.223	262	439	5339.981	4344	4112	282	3338.162	2746
fig|536231.75.peg.1045	943.901	1966.153	924	7994.048	6667.98	10274.451	221	180.128	368	5169.104	4609	4335	222	3474	3618.673
fig|536231.75.peg.1046	71.521	149.501	72	323.418	231.429	422.458	24	30.872	25.772	571.491	179	505	29.553	300.709	207.327
fig|536231.75.peg.1047	715.578	1955.346	987	6535.534	4775.59	7480.091	264	236	225.228	7896.405	3415	3907	665.447	3408.291	4037
fig|536231.75.peg.1048	185	335	203	2027	1661	2400	77	68	42	782	426	489	52	323	372
fig|536231.75.peg.1049	90	228	134	454	427	807	79	59	69	580	384	466	70	302	263
fig|536231.75.peg.1050	12	9	3	4	0	0	0	0	1	12	36	31	2	0	0
fig|536231.75.peg.1051	242	186	146	865	581	789	38	37	42	424	548	603	124	321	465
fig|536231.75.peg.1052	1119	894	546	2542	2155	3185	130	130	247	2585	2256	2132	532	1010	1524
fig|536231.75.peg.1053	148	161	82	298.068	190.617	269.996	18.613	10	29	109.238	161	77	31	24	74
fig|536231.75.peg.1054	887	665	448	1663.932	1395.383	2366.004	73.387	55	97	1059.762	1352	929	236	677	821
fig|536231.75.peg.1055	722	502	335	1096	951	1376	57	38	76	697	809	466	239	597	516
fig|536231.75.peg.1056	145	95	63	61	46	12	29	22	29	19	67	92	26	26	19
fig|536231.75.peg.1057	352	247.526	214.375	748.062	544	741.943	34	24	45	341	234.002	188	125	225	175
fig|536231.75.peg.1058	188	176.474	100.625	229.938	227.299	252.057	16	8	18.542	182.56	135.998	182	117.176	104	116
fig|536231.75.peg.1059	167.735	120	97	189.427	211.701	267.499	16.622	6	21.458	182.44	121	159	65.824	101	57
fig|536231.75.peg.1060	374.265	322	250	1414.573	1019	1628.501	33.378	34	87	460	410	447	204	307	206
fig|536231.75.peg.1061	271.164	212	232	1030	569	1194.969	31	17	52	415.006	445	272	116	168.52	341
fig|536231.75.peg.1062	383.836	286	230	1218	952	1278.353	40	37	65	814.994	192	396	265	438.48	422
fig|536231.75.peg.1063	549	555	310	2335	1486	2114.678	44	45	75	1180	696	719	602	774	814
fig|536231.75.peg.1064	505	354	287	756	749	967.001	55	33	69	324	245	244	96	102	164
fig|536231.75.peg.1065	259	288	193	914	656	876.999	23	25	44	448	294	236	342	394	546
fig|536231.75.peg.1066	941	651	293	1692	1547	2251	108	66	137	1674	1288	1247	572	1127	1082
fig|536231.75.peg.1067	988	787.823	659	2340	2107	2455	74	78	122	2007	1151	1389	1124	796	1294
fig|536231.75.peg.1068	81	78.177	25	81	160	117	12	0	4	66	54	55	46	55	0
fig|536231.75.peg.1069	1321	898	542	2263	1567	2661	61	88	116	1028	571	670	573	542	747
fig|536231.75.peg.1070	834	707	491	2864	2629	3636	78	91	109	1354	693	887	1688	692	800
fig|536231.75.peg.1071	433.825	354	168	324	275.628	474	46	24	58.936	235	144	88	507.464	96	98
fig|536231.75.peg.1072	1250.175	967	575	2861	2070.372	2773	70	85	93.064	1048	712	820	395.536	322	441
fig|536231.75.peg.1073	1729	1408.898	833	3094.779	2358	3697.383	115	116	169	1287.896	1201	1290	853	668	960
fig|536231.75.peg.1074	222	199.101	68	655.201	441.259	474.857	13	17	23	341.937	242	162	48	118	330.003
fig|536231.75.peg.1075	1595.168	1479.466	656	4549.02	3439.741	4660.438	121	125	134	1940.1	1809	2072	432.42	939	1545.997
fig|536231.75.peg.1076	104.832	132.994	41	160	84	304.323	3	3	5	180.066	72	47	46.58	43	113
fig|536231.75.peg.1077	11376.889	8600	6829.077	18278.896	15098.987	26216.272	2730	2120	1437.852	1980.148	842.697	893	7417	1601.909	1638
fig|536231.75.peg.1078	11050.111	8844.504	5672	26762.104	19650.013	37240.63	1731	1311	1117.148	1885.852	1258.303	883	5231	1269.091	1781
fig|536231.75.peg.1079	20396	15631	10981	38740	35298.671	58290	3271	2628	2106	2996	2315	1855	12821	3265	2916
fig|536231.75.peg.1080	7	8	7	0	0	0	0	0	0	0	0	0	9	0	0
