patricID	ri_t04_A	ri_t04_B	ri_t04_C	ri_t48_A	ri_t48_B	ri_t48_C
fig|536231.75.peg.49	3710.124	2255	1745	3186	3337	5353
fig|536231.75.peg.50	143.614	119.99	102	144.664	154	203.031
fig|536231.75.peg.51	95.386	90.01	26	81.336	83	96.969
fig|536231.75.peg.52	275	221	80	73	87	89
fig|536231.75.peg.53	413	460	214	164	227	392
fig|536231.75.peg.54	297	268	164	143	171	194
fig|536231.75.peg.55	382	241	229	94	93	80
fig|536231.75.peg.56	354	265	75	98	118	140
fig|536231.75.peg.57	223	195	189	84	152	131
fig|536231.75.peg.58	728	460	285	269	209	333
fig|536231.75.peg.59	200	188	31	83	95	212
fig|536231.75.peg.60	85	70	59	130	331	255
fig|536231.75.peg.61	14	20	27	41	61	55
fig|536231.75.peg.62	2059.096	1464.046	1098	2782	3040	5822
fig|536231.75.peg.63	1211	823	539	1058	1063	1712
fig|536231.75.peg.64	18	22	5	31	16	21
fig|536231.75.peg.65	34	29	3	29	68	46
fig|536231.75.peg.66	52	61	12	37	64	113
fig|536231.75.peg.67	15	13	0	0	0	24
fig|536231.75.peg.68	100	98	42	111	142	91
fig|536231.75.peg.69	116	93	46	18	24	55
fig|536231.75.peg.70	46	33	3	21	47	49
fig|536231.75.peg.71	37	27	10	30	50	28
fig|536231.75.peg.72	36	36	46	21	44	28
fig|536231.75.peg.73	25	18	13	87	35	61
fig|536231.75.peg.74	20122.547	14550.984	10508	5848	5073	7646
fig|536231.75.peg.75	2637.182	2177.001	1112	1420	1382	2889
fig|536231.75.peg.76	2010	1463	997	898	911	1531
fig|536231.75.peg.77	13936.595	9104.146	6254	9402	8234	13776
fig|536231.75.peg.78	3	21	28	0	0	0
fig|536231.75.peg.79	729	686	358	104	211	480
fig|536231.75.peg.80	2451	2267	1251	3902	2923	5496
fig|536231.75.peg.81	1049.072	693.542	313.041	491.196	398.798	838.117
fig|536231.75.peg.82	12064.108	8799.711	6086.959	33436.804	26816.202	43235.883
fig|536231.75.peg.83	8100.002	5270.337	1594	815	917.065	1611
fig|536231.75.peg.84	4782	5369.953	2258	248	399.935	867.996
fig|536231.75.peg.85	5241.32	5048	2195	3479	3236	4825
fig|536231.75.peg.86	3497.199	2073.005	1135	4889	4752	6760
fig|536231.75.peg.87	104	61	14	54	108	186
fig|536231.75.peg.88	218	148	49	384	322	651.556
fig|536231.75.peg.89	3316	3939	1896	418	516	765.444
fig|536231.75.peg.90	1891	1422	989	3279	3563	6653
fig|536231.75.peg.91	944	595	393	1560	1406	2334
fig|536231.75.peg.92	11	4	10	22	13	19
fig|536231.75.peg.93	100.861	58.026	24	94	146.248	73.529
fig|536231.75.peg.94	51364.324	83028.888	39381	2333	2413.752	4993.471
fig|536231.75.peg.95	600	377	221	921	747	1146
fig|536231.75.peg.96	569	427	265	1013	1051	1241
fig|536231.75.peg.97	124.513	80.998	35.873	361	314.42	408.03
fig|536231.75.peg.98	1209.487	531.002	476.127	2606	2398.58	3728.97
fig|536231.75.peg.99	850	492	317	2029	1586	2569
fig|536231.75.peg.100	279	200	138	972	715	907
