patricID	ri_t04_A	ri_t04_B	ri_t04_C	ri_t12_A	ri_t12_B	ri_t12_C
fig|536231.75.peg.32	7.609	3	11	0	0	0
fig|536231.75.peg.33	7.391	14	0	4	3	1
fig|536231.75.peg.34	339	285	209	57	83	31
fig|536231.75.peg.35	0	0	0	0	0	0
fig|536231.75.peg.36	118	105	131	14	33	1
fig|536231.75.peg.37	46	44	21	2	13	0
fig|536231.75.peg.38	2477	1558	1274	2300	1593	1869
fig|536231.75.peg.39	1312	772	585	1855	1003	952
fig|536231.75.peg.40	82.791	81.289	56	51.905	23.603	105.786
fig|536231.75.peg.41	542.209	426.711	300	465.095	184.397	637.214
fig|536231.75.peg.42	8	9	0	3	7	2
fig|536231.75.peg.43	169	117	57	150	90.51	207
fig|536231.75.peg.44	688	453	361	678	372.49	741
fig|536231.75.peg.45	1190	727	479	1316	693	1051
fig|536231.75.peg.46	4351.191	3711	2497	18420.898	12260	8478
fig|536231.75.peg.47	8637.714	7797.059	2441	35788.254	26469.107	15745
fig|536231.75.peg.48	2158	1379	1058	2787	1793	1602
fig|536231.75.peg.49	3710.124	2255	1745	3631	1861	2737
fig|536231.75.peg.50	143.614	119.99	102	67	72.999	25
fig|536231.75.peg.51	95.386	90.01	26	59	52.001	21
fig|536231.75.peg.52	275	221	80	142	173	58
fig|536231.75.peg.53	413	460	214	222	301	401
fig|536231.75.peg.54	297	268	164	180	255	278
fig|536231.75.peg.55	382	241	229	50	99	67
fig|536231.75.peg.56	354	265	75	68	80	41
fig|536231.75.peg.57	223	195	189	51	74	19
fig|536231.75.peg.58	728	460	285	159	220	74
fig|536231.75.peg.59	200	188	31	177	129	148
fig|536231.75.peg.60	85	70	59	16	8	26
fig|536231.75.peg.61	14	20	27	6	18	8
fig|536231.75.peg.62	2059.096	1464.046	1098	1192	809	1571
fig|536231.75.peg.63	1211	823	539	587	494	828
fig|536231.75.peg.64	18	22	5	9	2	6
fig|536231.75.peg.65	34	29	3	8	14	7
fig|536231.75.peg.66	52	61	12	38	14	44
fig|536231.75.peg.67	15	13	0	18	5	13
fig|536231.75.peg.68	100	98	42	98	39	29
fig|536231.75.peg.69	116	93	46	72	15	39
fig|536231.75.peg.70	46	33	3	31	29	21
fig|536231.75.peg.71	37	27	10	22	15	28
fig|536231.75.peg.72	36	36	46	20	7	18
fig|536231.75.peg.73	25	18	13	25	36	12
fig|536231.75.peg.74	20122.547	14550.984	10508	11560	12822	17143
fig|536231.75.peg.75	2637.182	2177.001	1112	1731	1795	1562
fig|536231.75.peg.76	2010	1463	997	1443	1711	2038
fig|536231.75.peg.77	13936.595	9104.146	6254	11764	10169	7649
fig|536231.75.peg.78	3	21	28	0	15	16
fig|536231.75.peg.79	729	686	358	597	763	1000
fig|536231.75.peg.80	2451	2267	1251	2264	2671	3744
fig|536231.75.peg.81	1049.072	693.542	313.041	1486.45	1100.603	686.087
fig|536231.75.peg.82	12064.108	8799.711	6086.959	23140.55	13947.267	14917.913
fig|536231.75.peg.83	8100.002	5270.337	1594	4129	9197	517
fig|536231.75.peg.84	4782	5369.953	2258	2622	6578.996	528
fig|536231.75.peg.85	5241.32	5048	2195	8800.013	8872	2617
fig|536231.75.peg.86	3497.199	2073.005	1135	5207	3052	3474
fig|536231.75.peg.87	104	61	14	173	113.485	122
fig|536231.75.peg.88	218	148	49	337	160.515	199
fig|536231.75.peg.89	3316	3939	1896	1827	1651	2072
fig|536231.75.peg.90	1891	1422	989	3628	2044	2427
fig|536231.75.peg.91	944	595	393	1502	845	834
fig|536231.75.peg.92	11	4	10	17	2	5
fig|536231.75.peg.93	100.861	58.026	24	109.048	65.597	104
fig|536231.75.peg.94	51364.324	83028.888	39381	96633.252	105776.471	46471.918
fig|536231.75.peg.95	600	377	221	1186	691	396
fig|536231.75.peg.96	569	427	265	1628.052	794	698
fig|536231.75.peg.97	124.513	80.998	35.873	287.735	125.63	117
fig|536231.75.peg.98	1209.487	531.002	476.127	1705.522	913.37	1357
fig|536231.75.peg.99	850	492	317	1186	551	714
fig|536231.75.peg.100	279	200	138	351	180	337
fig|536231.75.peg.101	169	107	81	164	128	184
fig|536231.75.peg.102	5858.192	4580.147	1042	21343.224	11187.568	6464.297
fig|536231.75.peg.103	18171.421	12357.783	5699	83570.781	39928.916	32178.383
fig|536231.75.peg.104	10100.589	6895.377	2686	54912.986	22147.946	19412.492
fig|536231.75.peg.105	96	68	206	602	277	389
fig|536231.75.peg.106	2891.143	1922.351	510.988	11698.603	5406.333	3467.462
fig|536231.75.peg.107	4642.496	4192.539	2102.574	23811.457	11902.201	7930.185
fig|536231.75.peg.108	1090.158	773.194	381.438	5175.336	2691.248	1998.861
fig|536231.75.peg.109	1468	866	431	3962	3056.246	1856
fig|536231.75.peg.110	294	154	81	583	364.754	174
fig|536231.75.peg.111	203.882	165	92	372	318.512	226
fig|536231.75.peg.112	19083.338	19754.891	9744	15934.353	12047.183	7177
fig|536231.75.peg.113	1	1	0	0	0	0
fig|536231.75.peg.114	8329.182	5503.001	2607	16168	8512	6259
fig|536231.75.peg.115	4286.26	3602.002	1949	7034	3931	3850
fig|536231.75.peg.116	2531	1535	833	11498.577	4615	5311
fig|536231.75.peg.117	1939.557	1439	743	10753	4015	4935
fig|536231.75.peg.118	121.445	56	29	304	163	198
fig|536231.75.peg.119	3800.015	3694	2309	5044.462	4030	4190
fig|536231.75.peg.120	12272.063	7494	5247	10113	7916	6516
fig|536231.75.peg.121	4896.504	3209	2824	4869	3488	3202
fig|536231.75.peg.122	3781.066	4097	2448	5511	3975	4518
fig|536231.75.peg.123	40	45	49	52	20	31
fig|536231.75.peg.124	5	10	0	12	1	0
fig|536231.75.peg.125	6162	4761	2338	3727	3595.757	2616
fig|536231.75.peg.126	1553	1043	723	844	719	386
fig|536231.75.peg.127	3704.854	2454	1926	3069	2395	1191
fig|536231.75.peg.128	21740.447	15490	8594	56903.452	31212.241	29704
fig|536231.75.peg.129	1056.037	1118.178	218	809.961	747.53	621
fig|536231.75.peg.130	5746.069	4138.822	2517	4399.039	3795.627	2207
fig|536231.75.peg.131	10535.2	9748.223	6919.414	4362	5172	3128
fig|536231.75.peg.132	40	37	5	45	15	6
fig|536231.75.peg.133	88	46	45	27	67	7
fig|536231.75.peg.134	7119.009	5124	2831	5038	3896	3672
fig|536231.75.peg.135	0	0	0	0	0	0
fig|536231.75.peg.136	9048.315	6840	3776	662	1159.104	661
fig|536231.75.peg.137	1635	1198	775	1156	609	1669
fig|536231.75.peg.138	4061.257	2775	1635	14617	4769	7478
fig|536231.75.peg.139	19549.659	14270.001	7014	81172.589	30398.015	40688.535
fig|536231.75.peg.140	40	33	59	10	33	16
fig|536231.75.peg.141	269	128	101	456	186	373
fig|536231.75.peg.142	263400.816	203934.694	108129	150130.148	166158.597	32192
fig|536231.75.peg.143	62245.575	47268.722	29391	52516.295	46594.984	7073
fig|536231.75.peg.144	3451.118	2475	1858	2335	2160	2665
fig|536231.75.peg.145	451	331	170	378	348	266
fig|536231.75.peg.146	543	462	240	781	345	610
fig|536231.75.peg.147	4493.255	3442.297	1454	2834	2770.867	2350
fig|536231.75.peg.148	29284.76	20617.26	13125.562	15802.224	15031.719	10684.441
fig|536231.75.peg.149	25277.898	29048.532	19712	7690	12255.143	7294.86
fig|536231.75.peg.150	48730.008	41828.062	26306	97429.774	60782.14	95925.747
fig|536231.75.peg.151	964	557	494	2765	1261	3489
fig|536231.75.peg.152	3528	2375	1713	3260	1725	2707
fig|536231.75.peg.153	3680.003	2583	2040	3923	2017	5399
fig|536231.75.peg.154	8	4	0	3	5	2
fig|536231.75.peg.155	8	3	2	0	3	1
fig|536231.75.peg.156	317.052	269	171	361	219	216
fig|536231.75.peg.157	2413	3099	2033	1934	1393	1606
fig|536231.75.peg.158	1450	1674	775	1225	1138	1084
fig|536231.75.peg.159	3438.15	2401	1064	8459	4041	4986
fig|536231.75.peg.160	6964.136	5226	3192	13096	6875	8912.123
fig|536231.75.peg.161	1640.067	2562	1131	1779	1490	1253
fig|536231.75.peg.162	3395	3331	1223	4947.035	2322	4200
fig|536231.75.peg.163	142	94	70	157	72	70
fig|536231.75.peg.164	16	19	16	81	49	56
fig|536231.75.peg.165	919	775	363	7151	2903	3816
fig|536231.75.peg.166	68	65	24	151	105	73
fig|536231.75.peg.167	17	13	25	5	11	0
fig|536231.75.peg.168	102	107	71	160	138	80
fig|536231.75.peg.169	892.189	719.466	432	801	780	601
fig|536231.75.peg.170	60	45.534	10	20	31	21
fig|536231.75.peg.171	240.536	187.837	78	78.037	95.905	58
fig|536231.75.peg.172	1083.464	831.163	488	505.963	458.095	286
fig|536231.75.peg.173	881.071	886	441	823.052	807	510
fig|536231.75.peg.174	3816.16	3163	1484	2854	2637	1924
fig|536231.75.peg.175	2060	1371	692	1569	1080	1230.233
fig|536231.75.peg.176	11263.261	7496	3412	8735	7327.812	4451
fig|536231.75.peg.177	369	324	318	243	324.863	198
fig|536231.75.peg.178	19054.586	15513	7630	36938.483	46183.314	13597
fig|536231.75.peg.179	62	83	1	167	137	32
fig|536231.75.peg.180	2601.736	2739.578	539	5863.044	6304	1985
fig|536231.75.peg.181	7051.861	7341.422	1273	10083.02	16684.17	5550
fig|536231.75.peg.182	13816.342	10781	5326	1292	8539	286
fig|536231.75.peg.183	97	121	45	33	75	26
fig|536231.75.peg.184	1415.224	2818.47	434	939.997	1490.909	1156.916
fig|536231.75.peg.185	3582.989	6830.484	2341	2660.003	4614.002	2263.084
fig|536231.75.peg.186	2654.192	1756.046	1316	2930	1980.09	2170
fig|536231.75.peg.187	349.381	304.419	93	226	324.075	178.988
fig|536231.75.peg.188	16520.169	12021.837	7727	7226.016	10060.925	7494.012
fig|536231.75.peg.189	5	3	0	0	0	0
fig|536231.75.peg.190	13	8	1	1	6	2
fig|536231.75.peg.191	8133.909	6460	3414	5819.954	6029	5287
fig|536231.75.peg.192	13624.457	7918.442	6565	13399.024	9153.733	8604
fig|536231.75.peg.193	15824.051	9515.143	6114	15568.637	10577	9059
fig|536231.75.peg.194	33	39	38	26	28	25
fig|536231.75.peg.195	1974	1578	878	1640	1548	2817
fig|536231.75.peg.196	623	492	166	496	479	714
fig|536231.75.peg.197	45954.273	83974.519	14744	10778	18925.003	8894
fig|536231.75.peg.198	21	28	7	15	8	14
fig|536231.75.peg.199	3522	2126	1212	3496.96	1800	41741.946
fig|536231.75.peg.200	37	37	8	41.114	16	136.054
fig|536231.75.peg.201	1973	1030	671	1818.886	780	9715
fig|536231.75.peg.202	537.009	324	122	499	312	2097
fig|536231.75.peg.203	5040.282	2812	1948	5719	1965	17571.203
fig|536231.75.peg.204	1951	1238	706	2158	814	5233
fig|536231.75.peg.205	6569.599	3631.771	2719	6684.268	2896.915	17940.182
fig|536231.75.peg.206	1997.401	1061.631	876	1454.732	803.266	5242.818
fig|536231.75.peg.207	233	178	92	439	186	239
fig|536231.75.peg.208	2	0	0	0	0	0
fig|536231.75.peg.209	1435	764	646	1793	992	1011
fig|536231.75.peg.210	1061.026	643	391	1460	793	773
fig|536231.75.peg.211	1450	1115	639	2018	1066	1141
fig|536231.75.peg.212	6844	5418.131	3674	7628	5276	7150
fig|536231.75.peg.213	6522.991	4650	4102	7336	4778	7150
fig|536231.75.peg.214	12158.782	9553	5412	14508	9821.121	21646.745
fig|536231.75.peg.215	531	423	279	250	222	252
fig|536231.75.peg.216	702	517	241	402	388	384
fig|536231.75.peg.217	17	6	0	15	12	10
fig|536231.75.peg.218	407	377	133	467	428	374
fig|536231.75.peg.219	15850.121	20879.961	8045.73	5432.535	9056.369	5220.35
fig|536231.75.peg.220	501	531	146	354	309	259
fig|536231.75.peg.221	255	235	132	230	243	274
fig|536231.75.peg.222	19724.747	11790	6178	22637	27143.629	13873.137
fig|536231.75.peg.223	5191.551	4046.087	1882	5029.832	5753.532	2938
fig|536231.75.peg.224	743.486	818.564	406.698	450.972	747.856	332.053
fig|536231.75.peg.225	361.795	351.062	162	137.888	166.217	227
fig|536231.75.peg.226	20737.259	18950.045	9409	16034.347	16854.205	11901.514
fig|536231.75.peg.227	7476.335	7484.1	2826.302	2818.308	5306.395	2831.433
fig|536231.75.peg.228	3257.028	1901	829	1536	1612	776
fig|536231.75.peg.229	2877.546	1929.249	640	1384	1321	838
fig|536231.75.peg.230	7137	3845	2615	3624	3400.772	1986
fig|536231.75.peg.231	22075.385	13785.638	9809	7160.106	7935	4705
fig|536231.75.peg.232	14013	11346	7251.686	3903	4216	1945
fig|536231.75.peg.233	2858	2118	1520	1489.023	1090	514
fig|536231.75.peg.234	19399.916	24564.177	14055	1597	3572	1276
fig|536231.75.peg.235	6411.083	7625.46	3748	1223	1707	848
fig|536231.75.peg.236	17608.925	16251	8979	3519.008	4658	2354
fig|536231.75.peg.237	7193.04	9124.001	3330	1350	1661.027	890
fig|536231.75.peg.238	831.33	2045.456	895.244	788.457	421.412	790.049
fig|536231.75.peg.239	4151	3236	1500	1023	954	634
fig|536231.75.peg.240	4178.143	2943	1915	978	1149.001	711
fig|536231.75.peg.241	9724.097	5987.117	4369	2583	2462	1764
fig|536231.75.peg.242	802	450	323	235	280	201
fig|536231.75.peg.243	978	668	431	539	436	380
fig|536231.75.peg.244	22198.325	19733.013	8853.053	7252.254	8814.648	5813.868
fig|536231.75.peg.245	3711.013	2410	1570	1814	1348	1132
fig|536231.75.peg.246	731	716	257	154	315	132
fig|536231.75.peg.247	669	476	161	633	315	597
fig|536231.75.peg.248	1453	966	707	957	774	1175
fig|536231.75.peg.249	3130.002	2293	1473	1700	1597	2188
fig|536231.75.peg.250	16561.206	10851	9321	9721	7698	10517
fig|536231.75.peg.251	960	748	539	318	223	356
fig|536231.75.peg.252	2070	1377	485	1355	694	1923
fig|536231.75.peg.253	3486.941	2598	884	1633	1423	2002
fig|536231.75.peg.254	51	49	47	21	21	8
fig|536231.75.peg.255	796	533.19	418	669	340.177	773.064
fig|536231.75.peg.256	613.261	395.76	285.807	787.218	381.866	1088
fig|536231.75.peg.257	0	0	0	0	0	0
fig|536231.75.peg.259	388.511	507.753	415.65	174.922	196.158	154.452
fig|536231.75.peg.260	698.208	645.347	278.149	153.713	250.778	159.558
fig|536231.75.peg.261	1026	1085	497	550	792	374
fig|536231.75.peg.262	25	36	24	4	24	6
fig|536231.75.peg.263	0	0	0	0	0	0
fig|536231.75.peg.264	0	1.81	0	0	20.823	7.936
fig|536231.75.peg.265	0	0	0	0	0	0
fig|536231.75.peg.266	0	0	0	0	0	0
fig|536231.75.peg.267	0	0	0	0	0	0
fig|536231.75.peg.268	117.739	155.24	61.193	92.782	46.134	0
fig|536231.75.peg.269	0	0	0	0	0	0
fig|536231.75.peg.271	125.281	115.899	22.2	23.365	19.064	15.99
fig|536231.75.peg.275	269	257	96	180	169	108
fig|536231.75.peg.276	802	646	339	292	455	333
fig|536231.75.peg.277	755	768	475	965	724	359
fig|536231.75.peg.278	10	12	2	0	2	0
fig|536231.75.peg.279	40	14	7	6	18	9
fig|536231.75.peg.280	1130.687	803.329	563.269	1527.994	910.939	661.121
fig|536231.75.peg.281	34.951	6.97	3.228	37.193	7.473	25.519
fig|536231.75.peg.282	77.471	320.766	252.447	0	0	54.935
fig|536231.75.peg.283	55	66	43	68	58	21
fig|536231.75.peg.284	328	368	110	102	107	178
fig|536231.75.peg.285	226	253	52	189	186	104
fig|536231.75.peg.286	202	374	201	133	167	202
fig|536231.75.peg.287	1	4	0	8	0	0
fig|536231.75.peg.288	29	25	0	5	28	10
fig|536231.75.peg.289	91	135	40	43	88	92
fig|536231.75.peg.290	339	269	42	324	261	270
fig|536231.75.peg.291	87	57	31	72	125	25
fig|536231.75.peg.292	298	197	97	302	303	140
fig|536231.75.peg.293	15	11	0	32	7	9
fig|536231.75.peg.294	176	209	74	244	161	143
fig|536231.75.peg.295	38	33	8	29	45	32
fig|536231.75.peg.296	45	38	13	38	18	8
fig|536231.75.peg.297	686.997	863.665	492	379	402	329
fig|536231.75.peg.298	262.003	174.335	110	134	90	73
fig|536231.75.peg.299	304	268	90	202	211	94
fig|536231.75.peg.300	1723	1762	1408	691	1168	1154
fig|536231.75.peg.301	6	11	3	2	5	2
fig|536231.75.peg.302	574	402	220	394	344	221
fig|536231.75.peg.303	624.48	462.417	249.55	566.201	474.294	268.046
fig|536231.75.peg.304	0	1.093	0	0	0	0
fig|536231.75.peg.305	353.778	268.5	157.279	257.836	192.594	271.775
fig|536231.75.peg.306	291.982	152.792	105.568	194.732	119.404	90.23
fig|536231.75.peg.307	1460.915	1177.719	808.726	2026.129	1693.08	1121.482
fig|536231.75.peg.308	55	49	23	72	37	29
fig|536231.75.peg.309	143	111	75	157	64	127
fig|536231.75.peg.310	285.11	75.375	403.809	35.567	213.478	0
fig|536231.75.peg.311	0	255.326	0	0	9.436	0
fig|536231.75.peg.312	20.325	45.061	14.738	2.445	7.837	33.144
fig|536231.75.peg.313	0	1	0	1.011	0	0
fig|536231.75.peg.316	0	0	0	0	0	0
fig|536231.75.peg.317	13	22	10	3	5	5
fig|536231.75.peg.318	31	26	3	0	6	10
fig|536231.75.peg.319	49	59	28	10	28	29
fig|536231.75.peg.320	149	217.204	76	34	72	44
fig|536231.75.peg.321	175	177	96	83	92	83
fig|536231.75.peg.322	102818.684	74315.201	43009	47681.416	83608.474	6302
fig|536231.75.peg.323	52465.66	40431.899	27329	25314.976	49818.752	4485.17
fig|536231.75.peg.324	693.668	847.9	506	168	628.185	38
fig|536231.75.peg.325	5864.01	6462.241	2880	2660	7380.005	407.991
fig|536231.75.peg.326	2635.106	3041.316	1514.2	1295.769	3711.704	149.55
fig|536231.75.peg.327	70626.453	64246.018	40955.388	34903.198	70415.275	6396.914
fig|536231.75.peg.328	59878.732	46400.897	33059.413	24692.295	53354.504	5624.544
fig|536231.75.peg.329	42.999	56	25.963	48	27	55
fig|536231.75.peg.330	108.001	97	69.037	72	83	102
fig|536231.75.peg.331	459	310	212	545	303	341
fig|536231.75.peg.332	833.535	343.955	160	2744.078	2053.61	2013.405
fig|536231.75.peg.333	11428.855	3641.045	1542	43481.864	29522.39	23126.237
fig|536231.75.peg.334	13661.362	4484.001	2828	55177.251	45611.965	29870
fig|536231.75.peg.335	8315.355	2850	2132	42223.397	29773.1	20735
fig|536231.75.peg.336	17364.365	6190.356	4659.563	91172.482	69773.474	43518.544
fig|536231.75.peg.337	4696.635	1516.644	1029.437	23054.821	18960.037	10116.456
fig|536231.75.peg.338	20583.215	7101	4656	104072.53	85803.282	50184.888
fig|536231.75.peg.339	6345	2599	1889	36875	36012.102	16501.52
fig|536231.75.peg.340	2095.001	1106	382	8805	9570.898	3467
fig|536231.75.peg.341	1800.104	1030	727	7544.004	3733.049	4208
fig|536231.75.peg.342	5995.068	7455.325	2742.451	1579.177	3170.697	1096.355
fig|536231.75.peg.343	39550.305	45386.451	14372.549	11498.823	18973.679	7858.864
fig|536231.75.peg.344	19	6	0	7	6	0
fig|536231.75.peg.345	14	11	8	20	12	3
fig|536231.75.peg.346	30	17	3	17	14	2
fig|536231.75.peg.347	771	1429	357	167	245	244
fig|536231.75.peg.348	4107	3090	1396	5454	3127	5840
fig|536231.75.peg.349	52219.426	38292.417	24776	44929.531	21823	25977
fig|536231.75.peg.350	221	313	286	36	39	27
fig|536231.75.peg.351	1887.306	2987.335	836	498	755	429
fig|536231.75.peg.352	253.529	439.219	103	177.022	248.998	224
fig|536231.75.peg.353	361.606	652.97	190	414.978	417.002	262
fig|536231.75.peg.354	51408.52	62397.872	28650	25825.137	38153.716	28776
fig|536231.75.peg.355	2365.649	2016.768	947.007	2800.798	3402.482	1704.157
fig|536231.75.peg.356	457.672	607.25	271.01	297.656	365.67	158.821
fig|536231.75.peg.357	32.368	55.948	52.362	23.339	24.411	23.964
fig|536231.75.peg.358	6830.716	5489.448	3739.778	6241.313	4137.771	2728.897
fig|536231.75.peg.359	47.316	73.2	45.099	21.979	39.782	13.034
fig|536231.75.peg.360	52.967	115.515	39.518	6.543	7.422	7.589
fig|536231.75.peg.361	1021.106	1682.106	626	692.344	1511	389
fig|536231.75.peg.362	2237.579	2979.894	1362	1387.656	1965	1752
fig|536231.75.peg.363	3998.202	5612	2092	2185	2831	3479
fig|536231.75.peg.364	4619	4799	974	2102	2301	1381
fig|536231.75.peg.365	7	14	57	3	5	1
fig|536231.75.peg.366	690	1020	430	197	409	169
fig|536231.75.peg.368	0	0	0	0	0	0
fig|536231.75.peg.369	630	428	264	830	608	673
fig|536231.75.peg.370	7356.098	4821	3204	558	1168	254
fig|536231.75.peg.371	550	503	251	216	253	183
fig|536231.75.peg.372	286.998	278	119	188	210	156
fig|536231.75.peg.373	4601.854	3890.881	1643	9465.296	6144.827	4008.366
fig|536231.75.peg.374	3219.351	2656.119	1122	6685.949	4000.588	2672.634
fig|536231.75.peg.375	1413	961	865	726	376	803
fig|536231.75.peg.376	512.042	372	231	366	410	147
fig|536231.75.peg.377	14132.84	11138.817	3421	7818	10182	2760
fig|536231.75.peg.378	20468.222	16978.005	9037	10944.007	15073.382	3662
fig|536231.75.peg.379	95	87	41	48	91	19
fig|536231.75.peg.380	22674.39	18667	12468	5472	11078.468	2265.038
fig|536231.75.peg.381	3080	3772	1865	3716.04	3238	2012
fig|536231.75.peg.382	6	8	6	0	2	1
fig|536231.75.peg.383	4177	2645	1940	1333	2087	1837
fig|536231.75.peg.384	2267	1851	1155	3879	2056	2986
fig|536231.75.peg.385	37875.224	26326.886	16018.239	65804.156	49919.34	17088
fig|536231.75.peg.386	13303.608	11259.144	5609.974	21777.197	17234.66	7511
fig|536231.75.peg.387	61111.252	48640.023	29976.786	99029.878	72571	37389.631
fig|536231.75.peg.388	34986.806	29302.531	14035	55912.84	45268.541	19039.149
fig|536231.75.peg.389	0	0	0	0	0	0
fig|536231.75.peg.390	1001	879	284	1187	1126	1066
fig|536231.75.peg.391	3591.009	2721	1473	6788	4876	8274
fig|536231.75.peg.392	2686	2097	1059	3907	2681	2997
fig|536231.75.peg.393	4470	3946	2232	5121	4273	7845
fig|536231.75.peg.394	5244.039	3901	2222	5912	4203	6605
fig|536231.75.peg.395	102	89	29	76	160	21
fig|536231.75.peg.396	71	70	11	135	135	36
fig|536231.75.peg.397	84	97	27	85	177	70
fig|536231.75.peg.398	10	15	12	38	37	5
fig|536231.75.peg.399	373	499	163	357	315	443
fig|536231.75.peg.400	484	461	200	502	335	453
fig|536231.75.peg.401	1353.12	1495	704	857	742	956
fig|536231.75.peg.402	92.998	104	18	30	43	19
fig|536231.75.peg.403	15341.762	11374	7366	18338	4263	35830
fig|536231.75.peg.404	39	31	5	50	27	47
fig|536231.75.peg.405	754	449	443	477	327	469
fig|536231.75.peg.406	155	146	27	68	63	87
fig|536231.75.peg.407	5140	2597	1976	1289	1080	940
fig|536231.75.peg.408	1329.617	776	666	780	536	705
fig|536231.75.peg.409	69.383	33	46	43	39	28
fig|536231.75.peg.410	1295	915	628	764	596	824
fig|536231.75.peg.411	1325	864	730	928	742	734
fig|536231.75.peg.412	1037	765	444	583	520	509
fig|536231.75.peg.413	212.008	134	95	116	131	118
fig|536231.75.peg.414	1445.001	1227	257	482	491	302
fig|536231.75.peg.415	507	459	319	412	285	328
fig|536231.75.peg.416	1354	905	614	681	514	593
fig|536231.75.peg.417	2751	1479	721	886	728	698
fig|536231.75.peg.418	717	494	236	558	320	290
fig|536231.75.peg.419	1384	701	457	836	606	711
fig|536231.75.peg.420	836	586	212	324	315	317
fig|536231.75.peg.421	70	60	7	51	23	77
fig|536231.75.peg.422	1164	1071	402	1321	365	820
fig|536231.75.peg.423	952	1086	478	935	388	812
fig|536231.75.peg.424	2549	2514.175	1096	3734	1123	2242
fig|536231.75.peg.425	26276.495	13082.002	11540	36976.925	29140.16	24571
fig|536231.75.peg.426	1698	1019	690	3490	1459	2262
fig|536231.75.peg.427	2	0	0	0	0	0
fig|536231.75.peg.428	0	18	22	13	6	16
fig|536231.75.peg.429	2692	1826	1144	2242	1528	2256
fig|536231.75.peg.430	265.007	236	137	368	227	341
fig|536231.75.peg.431	0	0	0	0	0	0
fig|536231.75.peg.432	577	450	301	487	458	216
fig|536231.75.peg.433	3951.014	3497	2074	3458.022	2601	2316
fig|536231.75.peg.434	662	995	198	222	430	163
fig|536231.75.peg.435	17	19	21	12	7	3
fig|536231.75.peg.436	6	11	0	1	2	4
fig|536231.75.peg.437	83	80	56	37	24	25
fig|536231.75.peg.438	0	0	0	0	0	0
fig|536231.75.peg.439	2	0	0	0	0	0
fig|536231.75.peg.440	3	4	0	2	0	0
fig|536231.75.peg.441	0	0	0	0	0	0
fig|536231.75.peg.442	6	6	0	3	1	0
fig|536231.75.peg.443	4	4	0	1	0	1
fig|536231.75.peg.444	321	329	210	288.008	165	223
fig|536231.75.peg.445	4729.407	4856	2109	1213.992	1764	1485
fig|536231.75.peg.446	15850.287	19102.403	10354	6848	8687	6542
fig|536231.75.peg.447	38	27	7	14	18	9
fig|536231.75.peg.448	3	0	0	0	0	0
fig|536231.75.peg.449	2.142	5	0	12	0	4
fig|536231.75.peg.450	26.858	31	22	33	17	40
fig|536231.75.peg.451	3	13	5	12	4	8
fig|536231.75.peg.452	17	12	37	21	2	10
fig|536231.75.peg.453	2.914	1	0	0	0	2
fig|536231.75.peg.454	35.086	28	42	9	7	0
fig|536231.75.peg.455	2	3	0	4	0	6
fig|536231.75.peg.456	6	13	15	4	4	0
fig|536231.75.peg.457	1	7	0	0	1	4
fig|536231.75.peg.458	51	39	30	57	21	32
fig|536231.75.peg.459	16	12	21	8	2	1
fig|536231.75.peg.460	21	14	37	9	27	3
fig|536231.75.peg.461	64	59	14	43	21	51
fig|536231.75.peg.462	17721.271	24358	9396	7398	8926	2814
