patricID	btri_t12_riA	btri_t12_riB	btri_t12_riC	btri_t36_riA	btri_t36_riB	btri_t36_riC
fig|536231.75.peg.378	454	334	381	1582	479	485
fig|536231.75.peg.379	3	3	1	0	0	0
fig|536231.75.peg.380	450	430	365	1100	407	309
fig|536231.75.peg.381	277	207	139	243	97	44
fig|536231.75.peg.382	0	0	0	0	0	0
fig|536231.75.peg.383	116	82	91	140	50	0
fig|536231.75.peg.384	525	439	435	131	181	248
fig|536231.75.peg.385	1914.491	1408.487	1670.176	1601	801	942
fig|536231.75.peg.386	890.509	642.513	812.824	608	250	214
fig|536231.75.peg.387	3317	2219	2825	3252	1875	1367
fig|536231.75.peg.388	2375	1671	2081	1941	1629	1181
fig|536231.75.peg.389	0	0	0	0	0	0
fig|536231.75.peg.390	371	150	184	157	121	100
fig|536231.75.peg.391	899	698	615	1008	453	463
fig|536231.75.peg.392	455	297	277	772	427	360
fig|536231.75.peg.393	560	384	408	688	446	262
fig|536231.75.peg.394	745	623	572	540	716	538
fig|536231.75.peg.395	21	24	16	3028	81	132
fig|536231.75.peg.396	11	18	14	2067	8	183
fig|536231.75.peg.397	17	11	23	1900	56	146
fig|536231.75.peg.398	4	6	5	654	90	37
fig|536231.75.peg.399	21	24	12	163	24	0
fig|536231.75.peg.400	24	23	20	196	0	66
fig|536231.75.peg.401	53	52	41	241	61	69
fig|536231.75.peg.402	0	0	3	1	0	0
fig|536231.75.peg.403	1768	1250	1221	3615	2384	1326
fig|536231.75.peg.404	19	11	9	6	10	7
fig|536231.75.peg.405	111	87	81	170	54	62
fig|536231.75.peg.406	44	22	16	43	30	26
fig|536231.75.peg.407	148	155	140	422	176	219
fig|536231.75.peg.408	187	145	120	143	181	172
fig|536231.75.peg.409	8	1	2	8	0	11
fig|536231.75.peg.410	134	113	104	207	147	81
fig|536231.75.peg.411	142	110	124	388	240	218
fig|536231.75.peg.412	113	86	101	131	85	44
fig|536231.75.peg.413	22	24	22	13	83	0
fig|536231.75.peg.414	42	31	38	197	57	142
fig|536231.75.peg.415	65	31	72	71	99	27
fig|536231.75.peg.416	76	50	64	87	103	32
fig|536231.75.peg.417	87	62	81	262	68	22
fig|536231.75.peg.418	62	46	70	87	55	25
fig|536231.75.peg.419	231	269	182	395	150	296
fig|536231.75.peg.420	100	84	73	155	81	41
fig|536231.75.peg.421	6	1	1	12	17	0
fig|536231.75.peg.422	91	116	91	501	232	128
fig|536231.75.peg.423	38	48	102	1254	101	47
fig|536231.75.peg.424	403	367	388	5172	498	431
fig|536231.75.peg.425	3465	2973	2414	989	1000	745
fig|536231.75.peg.426	248	167	194	214	172	131
fig|536231.75.peg.427	0	0	0	0	0	0
fig|536231.75.peg.428	0	0	0	0	0	0
fig|536231.75.peg.429	540	403	395	611	339	355
fig|536231.75.peg.430	44	22	32	28	18	69
fig|536231.75.peg.431	0	0	0	0	0	0
fig|536231.75.peg.432	81	43	43	110	31	11
fig|536231.75.peg.433	410	330	369	960	344	508
fig|536231.75.peg.434	0	4	5	79	17	0
fig|536231.75.peg.435	4	2	0	13	23	16
fig|536231.75.peg.436	1	3	3	0	15	0
fig|536231.75.peg.437	4	3	6	27	58	39
fig|536231.75.peg.438	0	0	0	0	0	0
fig|536231.75.peg.439	0	0	0	0	0	0
fig|536231.75.peg.440	0	0	0	0	0	0
fig|536231.75.peg.441	0	0	0	0	0	0
fig|536231.75.peg.442	1	0	1	0	32	0
fig|536231.75.peg.443	0	0	0	0	0	0
fig|536231.75.peg.444	52	42	39	78	92	10
fig|536231.75.peg.445	40	14	31	244	46	28
fig|536231.75.peg.446	180	129	89	2026	319	296
fig|536231.75.peg.447	1	3	0	0	0	0
fig|536231.75.peg.448	0	0	0	1	0	0
fig|536231.75.peg.449	4.719	4	0	0	0	0
fig|536231.75.peg.450	9.281	2	1	0	0	0
fig|536231.75.peg.451	1	0	1	8	12	0
fig|536231.75.peg.452	6	5	6	2	0	13
fig|536231.75.peg.453	0	0	0	0	0	9
fig|536231.75.peg.454	1	5	2	3	62	0
fig|536231.75.peg.455	2	0	0	0	0	0
fig|536231.75.peg.456	0	0	0	7	20	0
fig|536231.75.peg.457	2	0	0	0	30	0
fig|536231.75.peg.458	3	4	7	6	15	0
fig|536231.75.peg.459	3	1	0	0	0	0
fig|536231.75.peg.460	2	7	4	9	20	21
fig|536231.75.peg.461	11	10	4	14	65	16
fig|536231.75.peg.462	812	528	428	1202	601	721
fig|536231.75.peg.463	0	0	1	0	22	0
