patricID	ri_t12_A	ri_t12_B	ri_t12_C	btri_t12_riA	btri_t12_riB	btri_t12_riC
fig|536231.75.peg.1098	1173.591	836	1183.575	95	94.791	106
fig|536231.75.peg.1099	437.274	336	398.424	39.651	51.831	48.605
fig|536231.75.peg.1100	1863.002	1169	947.001	144.349	82.378	141.395
fig|536231.75.peg.1101	9709	6100	6354	1097	911	940
fig|536231.75.peg.1102	10600	5974.202	6323	1293	1071	1284
fig|536231.75.peg.1103	2798	1809	1728	217	122	204
fig|536231.75.peg.1104	23958.674	12796.469	10679	953	818	838
fig|536231.75.peg.1105	4692	1979	2840	576	362	402
fig|536231.75.peg.1106	3	4	0	1	0	0
fig|536231.75.peg.1107	3	2	4	0	0	0
fig|536231.75.peg.1108	1091.652	1237.431	626.108	178.49	136.653	131.923
fig|536231.75.peg.1109	0	0	0	0	0	0
fig|536231.75.peg.1110	669	646.693	327	67	110	92.911
fig|536231.75.peg.1111	333	325.307	140	17	4	16.089
fig|536231.75.peg.1112	5294	4481	2857	603	434	459
fig|536231.75.peg.1113	1842	1386	1047	155	103	182
fig|536231.75.peg.1114	4305	2679	2314	383	429	427
fig|536231.75.peg.1115	1351	895	704	109	70	134
fig|536231.75.peg.1116	8643	7384	9192	835	628	705
fig|536231.75.peg.1117	797	623	620	114	38	93
fig|536231.75.peg.1118	1021615.302	433099.846	427008.267	67053	42654	47974
fig|536231.75.peg.1119	528276.979	214995.218	276506.045	32512.966	27127	30456
fig|536231.75.peg.1120	424846.21	166141.925	209417.016	23017.43	16184	19073.4
fig|536231.75.peg.1121	3401.118	2239.852	2351.64	148.555	123.637	172.6
fig|536231.75.peg.1122	16039.371	11331.466	9755	1250	744.363	1187
fig|536231.75.peg.1123	10060.374	7364	7349	686	495	717
fig|536231.75.peg.1124	902	753	555	84	51	115
fig|536231.75.peg.1125	1892	1504	1340	323	266	303
fig|536231.75.peg.1126	2176	1966	1327	221	142	167
fig|536231.75.peg.1127	0	0	0	0	0	0
fig|536231.75.peg.1128	163	324	129	45	21	18
fig|536231.75.peg.1129	19015	21378	10811	3872	2718	2559
fig|536231.75.peg.1130	193	138	135	24	26	26
fig|536231.75.peg.1131	0	1	0	0	0	0
fig|536231.75.peg.1132	829	945	218	82	48	50
fig|536231.75.peg.1133	3455	4107	2822	386	331	326
fig|536231.75.peg.1134	3378	2693	2576	306	162	274
fig|536231.75.peg.1135	1755	1217	814	144	71	116
fig|536231.75.peg.1136	5716.146	3274.011	3456	457	398	507
fig|536231.75.peg.1137	15877.058	10945	10747.008	1992	1858	1798
fig|536231.75.peg.1138	951	2758	359	102	93	95
fig|536231.75.peg.1139	7713	13778	4045	632	618	732
fig|536231.75.peg.1140	11479.32	19018.458	7719	482	366	480
fig|536231.75.peg.1141	5319	6329	4673	558	412	477
fig|536231.75.peg.1142	4695	4672	4824	520	420	406
fig|536231.75.peg.1143	232	140	378	10	12	11
fig|536231.75.peg.1144	394	468	142	52	28	39
fig|536231.75.peg.1145	9748	6281	5793	1189	682	869
fig|536231.75.peg.1146	13823	9820	10004	1410	1019	1166
fig|536231.75.peg.1147	3894	2630	3091	548	354	447
fig|536231.75.peg.1148	10448	4112	5246	283	213	246
fig|536231.75.peg.1149	1531	625	1031	19	9	9
fig|536231.75.peg.1150	3017	657	1307	34	20	28
fig|536231.75.peg.1151	3363	831	1425	48	38	47
fig|536231.75.peg.1152	4502	870	1742	68	50	92
fig|536231.75.peg.1153	4228	1229	1973	139	118	106
fig|536231.75.peg.1154	1449	763	893	100	75	105
fig|536231.75.peg.1155	1409	639	729	89	41	57
fig|536231.75.peg.1156	9463.16	6524.02	8826.573	1390	948	1094
fig|536231.75.peg.1157	1840	1638	1634	90	73	89
fig|536231.75.peg.1158	2465	1463	1790	205	142	181
fig|536231.75.peg.1159	2276	2682	2136	244	140	124
fig|536231.75.peg.1160	2069	2091	1395	210	161	194
fig|536231.75.peg.1161	1076	1325	971	124	119	125
fig|536231.75.peg.1162	115295.643	45942.904	91206.821	15898	13947	16167
fig|536231.75.peg.1163	1330	808.002	1183	102	92	84
fig|536231.75.peg.1164	1237	662	1082	156	122	136
fig|536231.75.peg.1165	0	0	0	0	0	0
fig|536231.75.peg.1166	77	43	34	13	20	17
fig|536231.75.peg.1167	2834	3388	1355	424	344	380
fig|536231.75.peg.1168	9062	5403	6532	1120	890	993
fig|536231.75.peg.1169	1758	1111	1297	82	59	61
fig|536231.75.peg.1170	1940	1057	1261	89	38	92
fig|536231.75.peg.1171	4395	2969	2859	305	186	258
fig|536231.75.peg.1172	677	455	391	54	31	32
fig|536231.75.peg.1173	2577	1868	1508	298	182	318
fig|536231.75.peg.1174	1565	1086	1082	137	119	161
fig|536231.75.peg.1175	3235	2489	2163	423	337	351
fig|536231.75.peg.1176	14024	13474.108	9710	2371	2063	2093
fig|536231.75.peg.1177	20493.536	10077	13496	5682	4092	3846
fig|536231.75.peg.1178	2033	1785	1232	251	206	249
fig|536231.75.peg.1179	217	193	149	15	6	7
fig|536231.75.peg.1180	1060.006	1097	890	74	45	83
fig|536231.75.peg.1181	1059	1821	663	50	34	20
fig|536231.75.peg.1182	3348	3844	1982	351	243	291
fig|536231.75.peg.1183	804	1069	466	39	7	44
fig|536231.75.peg.1184	283	247	149	32	13	20
fig|536231.75.peg.1185	1701	1530	1020	116	162	140
fig|536231.75.peg.1186	3583	3144	2300	275	188	230
fig|536231.75.peg.1187	25	17	16	4	0	0
fig|536231.75.peg.1188	363	673	92	53	24	30
fig|536231.75.peg.1189	241	474	143	15	6	6
fig|536231.75.peg.1190	9	13	2	0	0	0
fig|536231.75.peg.1191	14	20	12	0	0	0
fig|536231.75.peg.1192	1620	2363	846	74	101	83
fig|536231.75.peg.1193	3885	4048	2252	160	121	188
fig|536231.75.peg.1194	1925	2111.046	1261	68	19	52
fig|536231.75.peg.1195	549	811	680	109	81	94
fig|536231.75.peg.1196	5294	5967	2107	332	129	181
fig|536231.75.peg.1197	2831	3857	1745	213	123	150
fig|536231.75.peg.1198	387	480	202	37	24	33
fig|536231.75.peg.1199	654	818	597	53	47	73
fig|536231.75.peg.1200	50	27	34	4	8	9
fig|536231.75.peg.1201	38	37	40	0	0	4
fig|536231.75.peg.1202	188	250	169	18	9	16
fig|536231.75.peg.1203	4704	4092	4886	607	501	564
fig|536231.75.peg.1204	5098	3497	4279	876	788	915
fig|536231.75.peg.1205	4251	2932.115	2942	492	334	365
fig|536231.75.peg.1206	1057	1092	1771	85	74	57
fig|536231.75.peg.1207	2490	2341	2260	350	307	283
fig|536231.75.peg.1208	382.351	226.037	440.572	70.348	37.926	59.604
fig|536231.75.peg.1209	997.649	750.963	1780.428	260.652	186.074	189.396
fig|536231.75.peg.1210	6	2	0	0	0	0
fig|536231.75.peg.1211	0	0	2	0	0	0
fig|536231.75.peg.1212	0	0	0	0	0	0
fig|536231.75.peg.1213	32	36	9	1	4	2
fig|536231.75.peg.1214	38	27	17	2	7	3
fig|536231.75.peg.1215	140	63	99	23	7	19
fig|536231.75.peg.1216	295	183	236	44	41	22
fig|536231.75.peg.1217	3219	6948	3745	107	72	74
fig|536231.75.peg.1218	65	83	29	13	1	1
fig|536231.75.peg.1219	45	68	15	21	10	18
fig|536231.75.peg.1220	4124	3111	2224	542	428	314
fig|536231.75.peg.1221	0	0	0	0	0	0
fig|536231.75.peg.1222	0	0	0	0	0	0
fig|536231.75.peg.1223	51	52	60	21	8	19
fig|536231.75.peg.1224	393	163	312	47	39	36
fig|536231.75.peg.1225	224.99	218.819	126	26	5	19
fig|536231.75.peg.1226	1100.01	830.181	627	216	97	143
fig|536231.75.peg.1227	0	1	0	0	0	0
fig|536231.75.peg.1228	181	215	50	19	14	23
fig|536231.75.peg.1229	150	171	42	7	4	10
fig|536231.75.peg.1230	334	387	148	30	29	48
fig|536231.75.peg.1231	63	47	34	0	4	9
fig|536231.75.peg.1232	148	203	83	6	8	15
fig|536231.75.peg.1233	1782	1932	1391	275	240	160
fig|536231.75.peg.1234	1055	1070	783	154	114	72
fig|536231.75.peg.1235	25	43	46	3	0	0
fig|536231.75.peg.1236	1499.612	2724.506	1390.878	181	81.372	107
fig|536231.75.peg.1237	1098.388	1685.62	719.122	153	136.628	125
fig|536231.75.peg.1238	2132.2	955	1222	159	101	133
fig|536231.75.peg.1239	10420	7361	5809	1102	848	1198
fig|536231.75.peg.1240	11435.809	8259	6497	685	486	683
fig|536231.75.peg.1241	6233	4634	3514	667	511	675
fig|536231.75.peg.1242	241396.857	97467.881	118906	19870	16299	19918
fig|536231.75.peg.1243	43172.645	22943.865	15753	1959	1461	2206
fig|536231.75.peg.1244	31142.172	17924	12219	892	650	854
fig|536231.75.peg.1245	22301.012	14256.372	9754	1959	1526	2295
fig|536231.75.peg.1246	40552.19	27600.099	18837	4672	4119	5626
fig|536231.75.peg.1247	8879	7048	4756	840	689	1207
fig|536231.75.peg.1248	10258	8545	5051	1281	1031	1679
fig|536231.75.peg.1249	3955	3447	1825	581	324	471
fig|536231.75.peg.1250	0	0	0	0	0	0
fig|536231.75.peg.1251	23780	8831	9723	933	806	840
fig|536231.75.peg.1252	6273	2721	2497	180	126	200
fig|536231.75.peg.1253	4172	1734	1952	140	62	124
fig|536231.75.peg.1254	9517.433	4754.37	4455.238	496.825	326.819	451.533
fig|536231.75.peg.1255	492.331	295.63	216.762	39.175	23.181	22.467
fig|536231.75.peg.1256	2323.237	1374	1135	172	101	117
fig|536231.75.peg.1257	3707	2411	1899	425	331	356
fig|536231.75.peg.1258	1692	884	808	127	84	98.591
fig|536231.75.peg.1259	21	25	14	2	0	3.409
fig|536231.75.peg.1260	8016	3975	3784	738	625	878
fig|536231.75.peg.1261	14339	6674	6117	1111	822	1158
fig|536231.75.peg.1262	5	1	2	0	0	0
fig|536231.75.peg.1263	2913	1897.243	2402	409	300	365
fig|536231.75.peg.1264	2769	1586	1901	447	339	511
fig|536231.75.peg.1265	2295	1540	1646	108	125	164
fig|536231.75.peg.1266	18539	32291.367	7675	294	166	186
fig|536231.75.peg.1267	0	17	5	0	0	0
fig|536231.75.peg.1268	12328.046	9420	4643	216	82	193
fig|536231.75.peg.1269	9043.476	9736.35	5197	1125	843	835
fig|536231.75.peg.1270	98815.34	149785.645	41016	1645.031	996	827
fig|536231.75.peg.1271	26738.006	22763.721	8760.601	2861.896	2569.299	2844.516
fig|536231.75.peg.1272	3416.989	4646.279	1721.399	178.104	163.701	158.484
fig|536231.75.peg.1273	2704	2651	2348	424	298	272
fig|536231.75.peg.1274	607	430	317	103	96	71
fig|536231.75.peg.1275	1431	1033	857	156	114	113
fig|536231.75.peg.1276	1496	1011	671	236	170	194
fig|536231.75.peg.1277	2760.082	1904.053	1476	266	146	242
fig|536231.75.peg.1278	1315	980	784	115	100	128
fig|536231.75.peg.1279	2599	1970	1651	307	198	252
fig|536231.75.peg.1280	6277.589	5177.051	3058.619	441.927	260.056	371.9
fig|536231.75.peg.1281	396.231	691.599	262.179	12.557	5.908	9.105
fig|536231.75.peg.1282	17.446	28.096	5.282	0	0	1.087
fig|536231.75.peg.1283	1425.638	1576.481	846.542	108.855	43.995	49.904
fig|536231.75.peg.1284	2739.665	3300.606	3578.013	348.519	146.523	267.98
fig|536231.75.peg.1285	0	1	3	0	0	0
fig|536231.75.peg.1286	3.36	0	2.001	0	0	0
fig|536231.75.peg.1288	1959.726	1816.197	902.138	235.467	85.312	106.64
fig|536231.75.peg.1289	0	0	0	0	0	0
fig|536231.75.peg.1290	145.457	123.599	111.411	5	1	1
fig|536231.75.peg.1291	974	1674	942	105	80	44
fig|536231.75.peg.1292	3	19	19	0	0	2
fig|536231.75.peg.1293	58	64	54	6	0	7
fig|536231.75.peg.1294	12	4	0	0	0	0
fig|536231.75.peg.1295	679.095	591	576	236	196	173
fig|536231.75.peg.1296	444	409	339	67	59	74
fig|536231.75.peg.1297	0	0	0	0	0	0
fig|536231.75.peg.1298	0	0	0	0	0	0
fig|536231.75.peg.1299	0	0	0	0	1	0
fig|536231.75.peg.1300	3018	2703	5628	605	528	379
fig|536231.75.peg.1301	37	35	24	6	12	5
fig|536231.75.peg.1303	1668	1495	2693	169	103	110
fig|536231.75.peg.1304	3622	2748	4018	481	318	440
fig|536231.75.peg.1305	4864	3098	5095	564	418	552
fig|536231.75.peg.1306	613	198	481	68	28	27
fig|536231.75.peg.1307	33962	21887.159	30048	3614	2477	2264
fig|536231.75.peg.1308	14704	8838	10423	1629	1057	1450
fig|536231.75.peg.1309	3728	3006	3746	395	222	282
fig|536231.75.peg.1310	14371	8005.029	4540	1542	1174	1134
fig|536231.75.peg.1311	23118	16077	22243	205	185	137
fig|536231.75.peg.1312	13957.135	9772	16099	129	77	38
fig|536231.75.peg.1313	44937.009	91324.579	19407	967.98	554.985	475
fig|536231.75.peg.1314	1584.013	1033.003	807	136.02	111.015	106
fig|536231.75.peg.1315	0	0	0	0	0	0
fig|536231.75.peg.1316	3185	2477	1963	587	404	444
fig|536231.75.peg.1317	999	1050	790	199	108	130
fig|536231.75.peg.1318	62525.338	95455.367	18979	5598	4421	4061
fig|536231.75.peg.1319	3335	4067	1710	267	194	252
fig|536231.75.peg.1320	4171	3356.003	2817	732.074	712	836
fig|536231.75.peg.1321	2700	2089	1939	657	554	755
fig|536231.75.peg.1322	691	1273	590	61	39	30
fig|536231.75.peg.1323	718	673	366	107	75	70
fig|536231.75.peg.1324	31	13	18	14	4	3
fig|536231.75.peg.1325	36326.899	112915.85	15265	294	176	154
fig|536231.75.peg.1326	34760.124	46060.891	18843.138	4972.706	4531	5377.241
fig|536231.75.peg.1327	11825.876	25216.056	13881	1257	775	951.759
fig|536231.75.peg.1328	699	798	466	53	26	32
fig|536231.75.peg.1329	783	2586	890	38	21	12
fig|536231.75.peg.1330	198	388	290	5	3	9
fig|536231.75.peg.1331	19	2	5	0	0	0
fig|536231.75.peg.1332	976	645	584	103	58	86
fig|536231.75.peg.1333	14022.171	6906	7934	1616	1116	1573
fig|536231.75.peg.1334	7314	3526	4233	755	574	636
fig|536231.75.peg.1335	33841.211	15097	19627.026	2606	2251	2358
fig|536231.75.peg.1336	0	0	0	0	0	0
fig|536231.75.peg.1337	473.944	788.83	786.912	4.999	2.612	7.753
fig|536231.75.peg.1338	11828.056	9932.6	9071.088	483.001	255.388	416.247
fig|536231.75.peg.1339	3804	2727.326	3266	165	134	167
fig|536231.75.peg.1340	3022.526	3298.115	2855.908	111.388	95.637	124.247
fig|536231.75.peg.1341	414	336	452	8	5	10
fig|536231.75.peg.1342	7	13	36	4	4	0
fig|536231.75.peg.1343	3851.474	2703.95	2211.092	375.612	283.363	301.753
fig|536231.75.peg.1344	314	349	339	23	2	8
fig|536231.75.peg.1345	0	0	0	0	0	0
fig|536231.75.peg.1346	18	67	22	4	4	6
fig|536231.75.peg.1347	0	1	0	0	0	0
fig|536231.75.peg.1348	11172.998	25628.997	26427.569	268	203	130
fig|536231.75.peg.1349	1951.002	2025.003	1115	296	221	196
fig|536231.75.peg.1350	1329	725	1216	110	83	124
fig|536231.75.peg.1351	0	0	0	0	0	0
fig|536231.75.peg.1352	7646.041	6544	6608	828	531	587
fig|536231.75.peg.1353	16	16	34	8	4	2
fig|536231.75.peg.1354	2435	1958	3201	385	266	234
fig|536231.75.peg.1355	758	712	842	106	55	88
fig|536231.75.peg.1356	336	442	365	63	41	24
fig|536231.75.peg.1357	1170	1127	523	93	60	79
fig|536231.75.peg.1358	246987.476	171524.907	185746.817	24058	19523	17990
fig|536231.75.peg.1359	67410	53615.994	51981	5443.752	4934	4676
fig|536231.75.peg.1360	35948.477	34642.466	38640.977	4359	3093	3598
fig|536231.75.peg.1361	3376	4270	3203	537	407	505
fig|536231.75.peg.1362	19708	16930.151	14125	2278	1709	1957
fig|536231.75.peg.1363	4510	3064	2882	400	352	439
fig|536231.75.peg.1364	8581	5873	6374	980	831	975
fig|536231.75.peg.1365	8569.18	6189	5695	784	688	764
fig|536231.75.peg.1366	3374	1606	1754	742	549	512
fig|536231.75.peg.1367	3918	3414	1670	186	75	95
fig|536231.75.peg.1368	6491	2525	2288	467	362	355
fig|536231.75.peg.1369	10842	3638	4641.61	598	558	555
fig|536231.75.peg.1370	4527	1689	2028	239	200	244
fig|536231.75.peg.1371	2240	1094	1027	161	97	168
fig|536231.75.peg.1372	4947	2451	2418	300	228	316
fig|536231.75.peg.1373	3831	1859	2018	354	264	381
fig|536231.75.peg.1374	4225	2136	2253	347	217	318
fig|536231.75.peg.1375	31	8	38	10	1	0
fig|536231.75.peg.1376	3094.268	2187	1851	476	363	430
fig|536231.75.peg.1377	8309.732	5279	4635	1117	768	831
fig|536231.75.peg.1378	0	0	5.086	0	0	0
fig|536231.75.peg.1379	4	0	0	0	0	0
fig|536231.75.peg.1380	63	109	40	14	0	10
fig|536231.75.peg.1381	6	31	5	3	0	3
fig|536231.75.peg.1382	115.157	117.305	68.461	9.316	0	1.182
fig|536231.75.peg.1383	1503.865	1479.496	1049.413	42.063	79.477	68.02
fig|536231.75.peg.1384	54.998	56.104	49.794	3	2	1
fig|536231.75.peg.1385	13	6	0	3	0	0
fig|536231.75.peg.1386	333	569	273	32	7	18
fig|536231.75.peg.1387	0	0	0	0	0	0
fig|536231.75.peg.1388	0	0	0	0	0	0
fig|536231.75.peg.1389	6637.096	3129.177	2543	342	251	231
fig|536231.75.peg.1390	4757	2445	2207	176	117	129
fig|536231.75.peg.1391	0	0	2	0	3	0
fig|536231.75.peg.1392	9	9	1	2	0	0
fig|536231.75.peg.1393	1	0	0	0	0	0
fig|536231.75.peg.1394	2	4	0	0	0	0
fig|536231.75.peg.1395	2	3	10	0	0	0
fig|536231.75.peg.1396	24552.781	36697.739	19879	911	417	591
fig|536231.75.peg.1397	3134	2460	1782	430	380	235
fig|536231.75.peg.1398	3.607	4	0	0	0	0
fig|536231.75.peg.1400	347	219.741	240	80	45	49
fig|536231.75.peg.1401	196	98.259	112	9	17	24
fig|536231.75.peg.1402	650.114	382	310	68	70	90
fig|536231.75.peg.1403	1012.886	620	599	48	48	53
fig|536231.75.peg.1404	1319	1545	820	156	96	83
fig|536231.75.peg.1405	0	0	2	0	0	0
fig|536231.75.peg.1406	19	13	14	0	0	4
fig|536231.75.peg.1407	9	4	4	2	0	0
fig|536231.75.peg.1408	4302.276	2802	2807	577	456	352
fig|536231.75.peg.1409	36	13	12	2	2	3
fig|536231.75.peg.1410	0	0	0	2	1	0
fig|536231.75.peg.1411	5	10	2	4	2	0
fig|536231.75.peg.1412	0	0	0	0	0	0
fig|536231.75.peg.1413	6775	3675	4334	1231	1033	797
fig|536231.75.peg.1414	138	80	114	25	16	7
fig|536231.75.peg.1415	49	76	33	3	8	2
fig|536231.75.peg.1416	77	77	43	9	10	4
fig|536231.75.peg.1417	21	13	15	0	0	1
fig|536231.75.peg.1418	2306	1506	2661	89	79	99
fig|536231.75.peg.1419	4761	4476	4607	448	249	317
fig|536231.75.peg.1420	0	0	0	0	1	0
fig|536231.75.peg.1421	20	16	13	8	3	2
fig|536231.75.peg.1422	10	3	8	2	7	1
fig|536231.75.peg.1423	1202	1714	1075	10	1	9
fig|536231.75.peg.1424	0	0	0	0	0	0
fig|536231.75.peg.1425	217	137	159	43	26	36
fig|536231.75.peg.1426	7544	13818.015	4727	282	147	169
fig|536231.75.peg.1428	259	167	107	15	5	22
fig|536231.75.peg.1429	0	0	0	0	0	0
fig|536231.75.peg.1430	2059	1547	1098	37	41	32
fig|536231.75.peg.1431	2467	1639	1678	81	60	65
fig|536231.75.peg.1432	4386	1807	1738	146	156	151
fig|536231.75.peg.1433	6416.519	2965.207	3351.866	212.211	202	228.548
fig|536231.75.peg.1434	774.403	305.029	286.134	19.789	20	18.452
fig|536231.75.peg.1435	286.078	153.764	104	13	5	19
fig|536231.75.peg.1436	2109	1082	916	128	68	113
fig|536231.75.peg.1437	11	1	18	2	4	3
fig|536231.75.peg.1438	0	0	0	0	0	0
fig|536231.75.peg.1439	10	4	0	3	0	0
fig|536231.75.peg.1440	0	4	1	2	0	0
fig|536231.75.peg.1441	0	0	0	0	0	0
fig|536231.75.peg.1442	4280	4287	2471	404.015	275	260
fig|536231.75.peg.1443	1016	1035	586	132	87	57
fig|536231.75.peg.1444	0	0	0	0	0	0
fig|536231.75.peg.1445	577	565	470	55	21	31
fig|536231.75.peg.1446	74	62	82	1	0	4
fig|536231.75.peg.1447	1156	684	646	169	115	140
fig|536231.75.peg.1448	190	121	119	24	30	23
fig|536231.75.peg.1449	1587	798	964.005	153	124	195
fig|536231.75.peg.1450	3410	1627	2245	385	333	460
fig|536231.75.peg.1451	2883	4411	4159	467	295	193
fig|536231.75.peg.1452	16547	8408	14900	1042	905	1042
fig|536231.75.peg.1453	14248	8678.064	14390	1151	875	1087
fig|536231.75.peg.1454	16	13	7	1	1	1
fig|536231.75.peg.1455	19263	14512	16361	3301	2396	2842
fig|536231.75.peg.1456	668	637.95	252	85.376	45	46
fig|536231.75.peg.1457	5390.37	4726.677	3435	640.434	460	526.424
fig|536231.75.peg.1458	698.213	618.857	422	97.024	41	82.07
fig|536231.75.peg.1459	3054.417	2150.467	1482	282.165	237	327.506
fig|536231.75.peg.1460	1301	1231	682	155	177	227
fig|536231.75.peg.1461	4427	4417	3375	357	236	348
fig|536231.75.peg.1462	1455	1201	679	179	160	270
fig|536231.75.peg.1463	261	258.253	147	56	42.928	41.877
fig|536231.75.peg.1464	2900	3012.747	2109	309	222.072	279.123
fig|536231.75.peg.1465	174	133	1640	8	10	1
fig|536231.75.peg.1466	144	260	153	35	34	30
fig|536231.75.peg.1467	5039.077	5144	2529	703	432	483
fig|536231.75.peg.1468	20859.117	24127	12580	2513	2069	2003
fig|536231.75.peg.1469	22133	34856	11839	602	382	317
fig|536231.75.peg.1470	14238	14983.767	6509	2770	1918	2036
fig|536231.75.peg.1471	17655	20063.165	10698	2427	1758	2059
fig|536231.75.peg.1472	10110	11546	6524	1286	906	1253
fig|536231.75.peg.1473	3680	4992.738	3087	454	345	434
fig|536231.75.peg.1474	18791.557	17335.305	10593	2239	1923	2028
fig|536231.75.peg.1475	4553	7496	5305	510	158	210
fig|536231.75.peg.1476	51530.833	37669.834	36686.805	4225	3270	3906
fig|536231.75.peg.1477	115290.645	86495.36	80938.641	11374	8568	11041
fig|536231.75.peg.1478	71333.155	59764.482	40459.537	13246	9371	11354
fig|536231.75.peg.1479	1615.201	604.815	2008	303.785	194	220.092
fig|536231.75.peg.1480	4385.799	1351.185	5670	571.215	285	465.908
fig|536231.75.peg.1481	113	132.805	23	10	7	9
fig|536231.75.peg.1482	6011	6758.195	3717	986	807	864
fig|536231.75.peg.1483	9469.811	10050.115	6606	2029.343	1460	1706.325
fig|536231.75.peg.1484	1374.002	1427	970	272.274	161	196.318
fig|536231.75.peg.1485	3207.006	3206	2241	849.383	546	761.356
fig|536231.75.peg.1486	4686.293	3735	4142	757	476	643
fig|536231.75.peg.1487	6826	7042	6237	1671	1380	1499
fig|536231.75.peg.1488	3682.04	4204	3106	536	359	536
fig|536231.75.peg.1489	3958	3488	3693	1499	1314	1367
fig|536231.75.peg.1490	18411	13163	15661	2507	1774	2407
fig|536231.75.peg.1491	5471	4752	5151	860	590	839
fig|536231.75.peg.1492	1776	1695	1502	174	124	203
fig|536231.75.peg.1493	2469	2221	1986	417	281	380
fig|536231.75.peg.1494	2	2	11	0	0	1
fig|536231.75.peg.1495	6547.422	11760	17439	156	110	90
fig|536231.75.peg.1496	7	17	4	1	2	0
fig|536231.75.peg.1497	0	1	0	0	0	0
fig|536231.75.peg.1498	3	0	0	0	0	0
fig|536231.75.peg.1499	23	11	19	0	7	2
fig|536231.75.peg.1500	0	0	0	0	0	0
fig|536231.75.peg.1501	0	0	0	0	0	0
fig|536231.75.peg.1502	0	0	0	0	0	0
fig|536231.75.peg.1503	470441.797	541655.297	132275.818	10602.998	5713.52	4740.998
fig|536231.75.peg.1504	23982.125	33732.376	6499	67.002	51.48	56.002
fig|536231.75.peg.1505	0	2	5	0	1	0
fig|536231.75.peg.1506	0	2	1	1	0	0
fig|536231.75.peg.1507	14	33	9	9	6	1
fig|536231.75.peg.1508	9	7	0	0	5	2
fig|536231.75.peg.1509	19	1	0	1	1	1
fig|536231.75.peg.1510	18	12	13	1	0	4
fig|536231.75.peg.1511	0	0	0	0	0	0
fig|536231.75.peg.1512	5507.803	4544	3562	924	704	564
fig|536231.75.peg.1513	1073.14	2358.942	703	39	30	23
fig|536231.75.peg.1514	335046.465	324762.06	263567.093	8876.48	6264.301	4189.705
fig|536231.75.peg.1515	47447.861	45910.44	26427.426	1671.52	1332.699	998.295
fig|536231.75.peg.1516	3289	2353	2335	541	346	321
fig|536231.75.peg.1517	30	6	31	0	0	2
fig|536231.75.peg.1518	2	6	5	0	0	0
fig|536231.75.peg.1519	3332.207	2307	1985	120	79	51
fig|536231.75.peg.1520	44	10	9	10	2	4
fig|536231.75.peg.1521	0	0	0	0	0	0
fig|536231.75.peg.1522	0	0	0	1	0	0
fig|536231.75.peg.1523	4	14	7	0	0	3
fig|536231.75.peg.1524	0	0	0	0	0	0
fig|536231.75.peg.1525	3972	2249	2357	669	534	522
fig|536231.75.peg.1526	22	7	5	0	1	1
fig|536231.75.peg.1527	0	0	0	0	0	0
fig|536231.75.peg.1528	1	0	0	0	0	0
fig|536231.75.peg.1529	3	2	1	0	0	2
fig|536231.75.peg.1530	204	267	415	0	0	2
fig|536231.75.peg.1531	155	291	165	6	1	6
fig|536231.75.peg.1532	33	8	21	9	3	0
fig|536231.75.peg.1533	5	1	4	0	0	0
fig|536231.75.peg.1534	0	0	0	0	0	0
fig|536231.75.peg.1535	8463.039	6583.125	6198	1294	988	990
fig|536231.75.peg.1536	6315	4909	4727	1268	985	1102
fig|536231.75.peg.1537	66	47	71	15	16	12
fig|536231.75.peg.1538	1087	1489	579	232	133.106	155
fig|536231.75.peg.1539	4380	4649.507	2851	1282	850.894	952
fig|536231.75.peg.1540	2378	3458	2394	206	139	183
fig|536231.75.peg.1541	688.961	903	461	57	53	52
fig|536231.75.peg.1542	30923.039	35541.236	28016	3389	2399	2315
fig|536231.75.peg.1543	6251	5333	3709	771	616	852
fig|536231.75.peg.1544	3270	2908	1900	467	382	640
fig|536231.75.peg.1545	1082	1114	549	201	176	244
fig|536231.75.peg.1546	864	865	413	86	78	143
fig|536231.75.peg.1547	758	979	525	85	93	120
fig|536231.75.peg.1548	829	935	420	123	91	168
fig|536231.75.peg.1549	4318	4990.046	2188	692	610	838
fig|536231.75.peg.1550	38	35	17	1	0	5
fig|536231.75.peg.1551	108	165	86	5	1	7
fig|536231.75.peg.1552	2103	1737.004	1066	155	148	195
fig|536231.75.peg.1553	660	485.03	342	24	26	34
fig|536231.75.peg.1554	677	463	313	24	17	51
fig|536231.75.peg.1555	990	785	541	74	89	83
fig|536231.75.peg.1556	330	210	179	23	21	18
fig|536231.75.peg.1557	1328	1076	696	76	61	72
fig|536231.75.peg.1558	363	305	215	29	28	45
fig|536231.75.peg.1559	587	506	310	41	34	21
fig|536231.75.peg.1560	1597	1570	960	113	106	106
fig|536231.75.peg.1561	1353	988	1232	217	159	168
fig|536231.75.peg.1562	1029	640	770	115	94	110
fig|536231.75.peg.1563	1768	782	1290	154	130	212
fig|536231.75.peg.1564	2746	1094	1884	314	255	302
fig|536231.75.peg.1565	144	169	111	7	18	18
fig|536231.75.peg.1566	6935	5361	4518	1525	1114	1127
fig|536231.75.peg.1567	8612	6688.961	7593	1376	1172	1142
fig|536231.75.peg.1568	726	846.033	556	111	56	79
fig|536231.75.peg.1569	688	828	464	71	26	62
fig|536231.75.peg.1570	4174.161	5075	2744	569	493	540
fig|536231.75.peg.1571	3399	3814	2160	509	411	377
fig|536231.75.peg.1572	0	0	0	0	0	0
