patricID	ri_t12_A	ri_t12_B	ri_t12_C	btri_t12_riA	btri_t12_riB	btri_t12_riC
fig|536231.75.peg.51	59	52.001	21	3	3	19
fig|536231.75.peg.52	142	173	58	34	25	27
fig|536231.75.peg.53	222	301	401	62	68	42
fig|536231.75.peg.54	180	255	278	53	40	38
fig|536231.75.peg.55	50	99	67	2	8	7
fig|536231.75.peg.56	68	80	41	10	5	5
fig|536231.75.peg.57	51	74	19	10	4	9
fig|536231.75.peg.58	159	220	74	32	18	17
fig|536231.75.peg.59	177	129	148	12	15	13
fig|536231.75.peg.60	16	8	26	1	6	2
fig|536231.75.peg.61	6	18	8	0	0	2
fig|536231.75.peg.62	1192	809	1571	264	214	200
fig|536231.75.peg.63	587	494	828	203	113	156
fig|536231.75.peg.64	9	2	6	2	5	3
fig|536231.75.peg.65	8	14	7	3	3	0
fig|536231.75.peg.66	38	14	44	1	1	8
fig|536231.75.peg.67	18	5	13	1	0	2
fig|536231.75.peg.68	98	39	29	13	8	15
fig|536231.75.peg.69	72	15	39	4	1	7
fig|536231.75.peg.70	31	29	21	6	5	10
fig|536231.75.peg.71	22	15	28	3	3	3
fig|536231.75.peg.72	20	7	18	8	0	0
fig|536231.75.peg.73	25	36	12	3	0	6
fig|536231.75.peg.74	11560	12822	17143	1214	939	830
fig|536231.75.peg.75	1731	1795	1562	146	97	140
fig|536231.75.peg.76	1443	1711	2038	204	172	137
fig|536231.75.peg.77	11764	10169	7649	1787	1375	1303
fig|536231.75.peg.78	0	15	16	0	0	0
fig|536231.75.peg.79	597	763	1000	104	95	122
fig|536231.75.peg.80	2264	2671	3744	582	467	640
fig|536231.75.peg.81	1486.45	1100.603	686.087	378.804	341.075	288.071
fig|536231.75.peg.82	23140.55	13947.267	14917.913	3530.445	3211.925	2718.929
fig|536231.75.peg.83	4129	9197	517	110	99	109
fig|536231.75.peg.84	2622	6578.996	528	57	56	53
fig|536231.75.peg.85	8800.013	8872	2617	623	425	356
fig|536231.75.peg.86	5207	3052	3474	1468	1068	1888
fig|536231.75.peg.87	173	113.485	122	44	27	48
fig|536231.75.peg.88	337	160.515	199	86	61.591	161
fig|536231.75.peg.89	1827	1651	2072	166	141.409	175
fig|536231.75.peg.90	3628	2044	2427	950	809	1157
fig|536231.75.peg.91	1502	845	834	470	299	642
fig|536231.75.peg.92	17	2	5	7	3	7
fig|536231.75.peg.93	109.048	65.597	104	31	52	54.414
fig|536231.75.peg.94	96633.252	105776.471	46471.918	579	438	382.586
fig|536231.75.peg.95	1186	691	396	266	254	411
fig|536231.75.peg.96	1628.052	794	698	208.445	164	219.527
fig|536231.75.peg.97	287.735	125.63	117	36.754	29	90.937
fig|536231.75.peg.98	1705.522	913.37	1357	471.801	451	680.537
fig|536231.75.peg.99	1186	551	714	584	569	809
fig|536231.75.peg.100	351	180	337	170	185	308
fig|536231.75.peg.101	164	128	184	97	78	170
fig|536231.75.peg.102	21343.224	11187.568	6464.297	345.72	217.752	364.99
fig|536231.75.peg.103	83570.781	39928.916	32178.383	2469.28	2053.248	2827.01
fig|536231.75.peg.104	54912.986	22147.946	19412.492	1460.208	1766.375	2083.908
fig|536231.75.peg.105	602	277	389	20	30	28
fig|536231.75.peg.106	11698.603	5406.333	3467.462	443.611	371.097	433.003
fig|536231.75.peg.107	23811.457	11902.201	7930.185	2122.837	1400.467	1887.234
fig|536231.75.peg.108	5175.336	2691.248	1998.861	421.344	350.061	563.855
fig|536231.75.peg.109	3962	3056.246	1856	823	681	801.39
