geneID	bt_t12_A	bt_t12_B	bt_t12_C	btri_t12_btA	btri_t12_btB	btri_t12_btC
BT_1641	1	1	2	5	3	2
BT_1642	6034.37	5556	5208.229	3087	3141	3658
BT_1643	3	5	0	8.8	9	6
BT_1644	21	49	26	29.2	35	44
BT_1645	166	168	107	177	108	92.164
BT_1646	84	60	74	30.612	35	45.836
BT_1647	38	46	20	24.388	24	25
BT_1648	46	40	18	29.113	36.237	47.713
BT_1649	632	435	528	424.887	307.763	296.287
BT_1650	97	60	97	70	141	100
BT_1651	135	113	62	119	131	91
BT_1652	87	80	110	34	58	61
BT_1653	179	119	114	141	107	116
BT_1654	1426.025	1190.327	1308.275	1475.109	1257.182	1287.801
BT_1655	10849.331	11180.625	14183.942	5512.447	3705.218	3534.778
BT_1656	739.482	505.237	701.787	646.998	631.797	621.999
BT_1657	1192.517	1031.454	1331.093	1084.125	1260.108	1087.377
BT_1658	25522.625	18668.12	22165.021	41062.222	36760.111	26247.143
BT_1659	16195.908	15883.367	19562.084	7820.131	9002.644	10279.885
BT_1660	22875.466	20822.513	28639.895	18121.676	21796.996	22995.079
BT_1661	423	387	310	962	794	926
BT_1662	4284.161	3191	3772	4890.013	5352.263	4497.565
BT_1663	26063.839	18320	21367	30686.719	35919.296	31191.728
BT_1664	8360.528	6766.802	7454.546	6898.723	8342.564	7198.736
BT_1665	1644.472	1248.198	1391.454	1470.53	1591.781	1486.876
BT_1666	2475	2116.249	2468	3093.623	3690.16	3122.749
BT_1667	4309	1947	1628	40617.576	25652.843	21330.149
BT_1668	620	445	689	1280.001	1197	1134.001
BT_1669	4903	4815	5149	3469	4353.999	4447.674
BT_1670	1175.093	1109.231	1117.075	543.247	562.082	613.187
BT_1671	8294.507	6102.769	6499	15721.752	10183.919	10648.902
BT_1672	18765.002	18809	21612	11807.084	14122.089	15027.002
BT_1673	237	270	183	93.522	79	84
BT_1674	367	339	197	238.478	195	255
BT_1675	18201	13171	16244	19904.631	19355.687	19411.631
BT_1676	1409	1124	1263	2058.003	2014	1741.872
BT_1677	517.966	457	517	775.561	855.713	817.537
BT_1678	1304.034	1055.07	1232	1546.664	1316.129	1333.916
BT_1679	275.218	215.93	253	170.726	217.949	204.434
BT_1680	8406.782	5299	5493	19584.468	15622.251	12816.294
BT_1681	5731	4911	4265	7610	8975	7035.111
BT_1682	54	67	84	52	78	77
BT_1683	1029	998	895	1244	1175	819
BT_1684	2012	1620	2123	1955	2321	2435
BT_1685	1847.323	1578.753	1646	739.567	1016.473	979.889
BT_1686	9017.343	7938.005	9711.652	4926.36	5405.786	6156.998
BT_1687	4140.348	3475.014	4603.348	2333.39	2749.677	2914.996
BT_1688	844.264	1049.302	1004	334.169	389.432	379.902
BT_1689	12351.723	9751.679	14905	11261.515	11792.633	11175.822
BT_1690	697	504	520	327	279	388
BT_1691	43548.587	34800	44649.656	24263.734	22027.771	21988.121
BT_1692	4060	2751	3593	3026	2516	3007
BT_1693	9746.579	8321.792	9077.402	6582.387	7463.614	9286.419
BT_1694	43724.421	32810.68	45278.498	40858.936	37194.498	38982.974
BT_1695	5323.317	4007.528	4161	4674.228	3572	4191.601
BT_1696	2546	1927	2987	2755.984	2788.342	2487.304
BT_1697	3188.536	2576.001	2912	3656.881	3418.983	3422.906
BT_1698	518.464	513.999	581	575.135	594.76	663.79
BT_1699	513	430	409	840.949	688	668.218
