"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"BT_0181"	113.162270613036	-0.404149804323539	0.654673888127991	0	1	1
"BT_0182"	148.848958977619	-0.0431140787853349	0.43194464491022	0	1	1
"BT_0183"	4818.66822980517	-0.192159277156425	0.505553061407816	0	1	1
"BT_0184"	1321.98633218901	0.224703728343975	0.628595853981601	0	1	1
"BT_0185"	350.299994467233	-0.564003992863343	0.294018964960058	0	1	1
"BT_0186"	8594.95475734495	-0.159217624022453	0.369850301182602	0	1	1
"BT_0187"	1730.01326403424	-0.0642872145416022	0.434110038856421	0	1	1
"BT_0188"	685.545336017902	0.154177609719856	0.400734849530187	0	1	1
"BT_0189"	311.579551632792	1.99634795415793	0.835043014629969	1.19316961725551	0.232802951108836	1
"BT_0190"	267.552221819955	1.82096707474378	0.82035589730749	1.00074501498471	0.316950098536849	1
"BT_0191"	59.332396085065	1.55995249538708	0.860289697612868	0.650888296048224	0.515118597164765	1
"BT_0192"	245.919365426374	1.08688555570947	0.440813862420835	0.197102593898295	0.843747253609559	1
"BT_0193"	31.7394253568599	0.871228694715512	0.740410397528765	0	1	1
"BT_0194"	13.5500576069038	-0.391435269104427	0.841459461906054	0	1	1
"BT_0195"	607.711673170495	0.730370692691951	0.879406277137252	0	1	1
"BT_0196"	16.9721264603901	-0.353624404819727	1.04709188002799	0	1	1
"BT_0197"	84.4864822362174	1.02769875248016	0.504776804996618	0.0548732671667545	0.956239429491327	1
"BT_0198"	152.359617651118	0.209843993660225	0.496211854348536	0	1	1
"BT_0199"	717.353820811788	1.76293375742281	0.428480715993154	1.78055564450419	0.0749850713480094	1
"BT_0200"	425.22532366196	-0.611794516328753	0.439638202560149	0	1	1
"BT_0201"	685.916508504635	-0.89125125555636	0.30904262620819	0	1	1
"BT_0202"	157.752900617104	-1.65949405626314	0.382843483989088	-1.72262055864567	0.0849571647367545	1
"BT_0203"	727.575763910178	-0.520147733345582	0.219405162477025	0	1	1
"BT_0204"	35.6872997374188	0.0231469797235737	0.717972445538227	0	1	1
"BT_0205"	679.146110379481	-0.22565189254833	0.417585359368498	0	1	1
"BT_0206"	92.4878473862662	0.526422373463988	0.602997847085481	0	1	1
"BT_0207"	10.2323198138245	0.984712866814081	1.30052393107211	0	1	1
"BT_0208"	13.2338372145235	3.22697898120767	1.144225007839	1.94627714474933	0.0516214574716597	1
"BT_0209"	25.1268078924353	1.57059772647689	0.613481370262055	0.93009788746014	0.352320404479069	1
"BT_0210"	47.4586640669864	0.981728291352985	0.728399283086246	0	1	1
"BT_0211"	48.164284259161	1.22930672969586	0.741644713532121	0.309186764918446	0.757179461069154	1
"BT_0212"	83.8319807166807	0.235920085279078	0.460887721155309	0	1	1
"BT_0213"	18.3621884406706	-1.53308273274736	0.930005543322657	-0.573203822896364	0.566506696252049	1
"BT_0214"	49.5756209858424	1.890249325017	0.60815201055271	1.46385987313914	0.143232239212757	1
"BT_0215"	7690.36196875211	-0.10535967129838	0.476643117604473	0	1	1
"BT_0216"	10080.6835437534	-0.146366137124253	0.625730084842055	0	1	1
"BT_0217"	2813.87353540536	-0.297555563718934	0.444872004692377	0	1	1
"BT_0218"	91.4118001075006	-1.26897084525353	0.822318726387343	-0.327088313354106	0.743601090693707	1
"BT_0219"	29.8429760197959	-1.84501684102209	1.15458340620472	-0.731880292476898	0.464241635876259	1
"BT_0220"	0.0571905763581024	-0.443395481567837	3.08859264104839	0	1	1
"BT_0221"	224.870089011183	0.902424244733966	0.394110325849514	0	1	1
"BT_0222"	98.6052083698562	-1.10119817849712	0.605374341151703	-0.167166283104428	0.867239213263407	1
"BT_0223"	47.2818239099701	0.50613132377669	0.637927333388117	0	1	1
"BT_0224"	339.029405491045	0.325194508975445	0.532257948738524	0	1	1
"BT_0225"	3345.1879893579	1.22545662847975	0.419777566786566	0.537085938645164	0.591208253217536	1
"BT_0226"	125.218964511086	-1.44229384176898	0.83568914199498	-0.529256417898549	0.596627584170152	1
"BT_0227"	4062.38613018698	-0.841597369820107	0.929736927517489	0	1	1
"BT_0228"	19.1057736984409	1.74290814853639	1.32879686069283	0.559083311010416	0.576104863965485	1
"BT_0229"	9.73071290613483	-0.780757486984893	1.04912861635139	0	1	1
"BT_0230"	29.3192968446441	0.555441252544446	0.924518600607146	0	1	1
"BT_0231"	11.4574553853797	-1.81829088357217	1.20076949418671	-0.68147207897416	0.495572828084488	1
"BT_0232"	7.88507466202309	-1.45226449150627	1.4788175553132	-0.305828457257181	0.759735260162054	1
"BT_0233"	61.9326309575788	-1.45119903561415	0.766945638982468	-0.588306410103297	0.556326643798275	1
"BT_0234"	65.1886753965028	0.217740273504311	0.395355882420741	0	1	1
"BT_0235"	29.0490935339839	0.0308330166182181	0.943695040042822	0	1	1
"BT_0236"	733.030965181244	-0.419170385294796	0.552141180578021	0	1	1
"BT_0237"	1035.97699651589	-0.961473536881006	0.61669291106282	0	1	1
"BT_0238"	658.894009756905	-0.412571953418676	0.451574210644475	0	1	1
"BT_0239"	2145.90908483743	0.364713320012203	0.448265987712558	0	1	1
