time	experiment	replicate	butyrate
138	AMBR7_P	F	6.886700232
144	AMBR7_P	F	11.43286864
150	AMBR7_P	F	11.12740809
156	AMBR7_P	F	13.37816439
162	AMBR7_P	F	9.977355238
168	AMBR7_P	F	15.36401673
174	AMBR7_P	F	12.50015651
180	AMBR7_P	F	13.23034315
186	AMBR7_P	F	10.6901345
192	AMBR7_P	F	16.48248586
198	AMBR7_P	F	11.84959108
204	AMBR7_P	F	1.293824957
210	AMBR7_P	F	9.647779016
216	AMBR7_P	F	11.99094657
222	AMBR7_P	F	10.95924148
228	AMBR7_P	F	10.7063733
234	AMBR7_P	F	8.794223041
240	AMBR7_P	F	11.15925822
246	AMBR7_P	F	9.885918725
252	AMBR7_P	F	10.18207017
258	AMBR7_P	F	7.625320008
